cut,J,m,probe_draw,entropy
10,1.8,64,4,0.3735841364176328
10,2.0,4,0,0.0601571862017944
10,2.0,8,0,0.33619799197089056
10,2.0,16,0,0.2182820329170705
10,2.0,32,0,0.29149324727331033
10,2.0,64,0,0.36473414758559075
10,2.0,4,1,0.0831684612638363
10,2.0,8,1,0.24950188115690902
10,2.0,16,1,0.5000162589623223
10,2.0,32,1,0.48561567374661435
10,2.0,64,1,0.44230891410539525
10,2.0,4,2,0.2105806204609007
10,2.0,8,2,0.2668428509639032
10,2.0,16,2,0.4523185144146509
10,2.0,32,2,0.4144278068780662
10,2.0,64,2,0.48694588646696507
10,2.0,4,3,0.08825622292124925
10,2.0,8,3,0.09509330640838105
10,2.0,16,3,0.11964641744380068
10,2.0,32,3,0.3145069295238331
10,2.0,64,3,0.32013251409050936
10,2.0,4,4,0.209991561886409
10,2.0,8,4,0.29848933929753707
10,2.0,16,4,0.509395586919116
10,2.0,32,4,0.5091693794628126
10,2.0,64,4,0.4897873673741525
