#time	operator	index_1	index_2	value
0	ZZ	25	9	-1
0	ZZ	25	10	-1
0	ZZ	25	11	-1
0	ZZ	25	12	-1
0	ZZ	25	13	-1
0	ZZ	25	14	-1
0	ZZ	25	15	-1
0	ZZ	25	16	1
0	ZZ	25	17	1
0	ZZ	25	18	1
0	ZZ	25	19	1
0	ZZ	25	20	1
0	ZZ	25	21	1
0	ZZ	25	22	1
0	ZZ	25	23	1
0	ZZ	25	24	1
0	ZZ	25	26	1
0	ZZ	25	27	1
0	ZZ	25	28	1
0	ZZ	25	29	1
0	ZZ	25	30	1
0	ZZ	26	1	-1
0	ZZ	26	2	-1
0	ZZ	26	3	-1
0	ZZ	26	4	-1
0	ZZ	26	5	-1
0	ZZ	26	6	-1
0	ZZ	26	7	-1
0	ZZ	26	8	-1
0	ZZ	26	9	-1
0	ZZ	26	10	-1
0	ZZ	26	11	-1
0	ZZ	26	12	-1
0	ZZ	26	13	-1
0	ZZ	26	14	-1
0	ZZ	26	15	-1
0	ZZ	26	16	1
0	ZZ	26	17	1
0	ZZ	26	18	1
0	ZZ	26	19	1
0	ZZ	26	20	1
0	ZZ	26	21	1
0	ZZ	26	22	1
0	ZZ	26	23	1
0	ZZ	26	24	1
0	ZZ	26	25	1
0	ZZ	26	27	1
0	ZZ	26	28	1
0	ZZ	26	29	1
0	ZZ	26	30	1
0	ZZ	27	1	-1
0	ZZ	27	2	-1
0	ZZ	27	3	-1
0	ZZ	27	4	-1
0	ZZ	27	5	-1
0	ZZ	27	6	-1
0	ZZ	27	7	-1
0	ZZ	27	8	-1
0	ZZ	27	9	-1
0	ZZ	27	10	-1
0	ZZ	27	11	-1
0	ZZ	27	12	-1
0	ZZ	27	13	-1
0	ZZ	27	14	-1
0	ZZ	27	15	-1
0	ZZ	27	16	1
0	ZZ	27	17	1
0	ZZ	27	18	1
0	ZZ	27	19	1
0	ZZ	27	20	1
0	ZZ	27	21	1
0	ZZ	27	22	1
0	ZZ	27	23	1
0	ZZ	27	24	1
0	ZZ	27	25	1
0	ZZ	27	26	1
0	ZZ	27	28	1
0	ZZ	27	29	1
0	ZZ	27	30	1
0	ZZ	28	1	-1
0	ZZ	28	2	-1
0	ZZ	28	3	-1
0	ZZ	28	4	-1
0	ZZ	28	5	-1
0	ZZ	28	6	-1
0	ZZ	28	7	-1
0	ZZ	28	8	-1
0	ZZ	28	9	-1
0	ZZ	28	10	-1
0	ZZ	28	11	-1
0	ZZ	28	12	-1
0	ZZ	28	13	-1
0	ZZ	28	14	-1
0	ZZ	28	15	-1
0	ZZ	28	16	1
0	ZZ	28	17	1
0	ZZ	28	18	1
0	ZZ	28	19	1
0	ZZ	28	20	1
0	ZZ	28	21	1
0	ZZ	28	22	1
0	ZZ	28	23	1
0	ZZ	28	24	1
0	ZZ	28	25	1
0	ZZ	28	26	1
0	ZZ	28	27	1
0	ZZ	28	29	1
0	ZZ	28	30	1
0	ZZ	29	1	-1
0	ZZ	29	2	-1
0	ZZ	29	3	-1
0	ZZ	29	4	-1
0	ZZ	29	5	-1
0	ZZ	29	6	-1
0	ZZ	29	7	-1
0	ZZ	29	8	-1
0	ZZ	29	9	-1
0	ZZ	29	10	-1
0	ZZ	29	11	-1
0	ZZ	29	12	-1
0	ZZ	29	13	-1
0	ZZ	29	14	-1
0	ZZ	29	15	-1
0	ZZ	29	16	1
0	ZZ	29	17	1
0	ZZ	29	18	1
0	ZZ	29	19	1
0	ZZ	29	20	1
0	ZZ	29	21	1
0	ZZ	29	22	1
0	ZZ	29	23	1
0	ZZ	29	24	1
0	ZZ	29	25	1
0	ZZ	29	26	1
0	ZZ	29	27	1
0	ZZ	29	28	1
0	ZZ	29	30	1
0	ZZ	30	1	-1
0	ZZ	30	2	-1
0	ZZ	30	3	-1
0	ZZ	30	4	-1
0	ZZ	30	5	-1
0	ZZ	30	6	-1
0	ZZ	30	7	-1
0	ZZ	30	8	-1
0	ZZ	30	9	-1
0	ZZ	30	10	-1
0	ZZ	30	11	-1
0	ZZ	30	12	-1
0	ZZ	30	13	-1
0	ZZ	30	14	-1
0	ZZ	30	15	-1
0	ZZ	30	16	1
0	ZZ	30	17	1
0	ZZ	30	18	1
0	ZZ	30	19	1
0	ZZ	30	20	1
0	ZZ	30	21	1
0	ZZ	30	22	1
0	ZZ	30	23	1
0	ZZ	30	24	1
0	ZZ	30	25	1
0	ZZ	30	26	1
0	ZZ	30	27	1
0	ZZ	30	28	1
0	ZZ	30	29	1

0.1	ZZ	1	2	0.960789439153376
0.1	ZZ	1	3	0.960789439153376
0.1	ZZ	1	4	0.960789439153376
0.1	ZZ	1	5	0.960789439153376
0.1	ZZ	1	6	0.960789439153376
0.1	ZZ	1	7	0.960789439153376
0.1	ZZ	1	8	0.960789439153376
0.1	ZZ	1	9	0.960789439153376
0.1	ZZ	1	10	0.960789439153377
0.1	ZZ	1	11	0.960789439153561
0.1	ZZ	1	12	0.960789440168093
0.1	ZZ	1	13	0.960786176089082
0.1	ZZ	1	14	0.960041457987834
0.1	ZZ	1	15	0.88718443773957
0.1	ZZ	1	16	-0.887183238005682
0.1	ZZ	1	17	-0.960042645737699
0.1	ZZ	1	18	-0.96078618966027
0.1	ZZ	1	19	-0.960789439633199
0.1	ZZ	1	20	-0.960789439153495
0.1	ZZ	1	21	-0.960789439153377
0.1	ZZ	1	22	-0.960789439153376
0.1	ZZ	1	23	-0.960789439153376
0.1	ZZ	1	24	-0.960789439153376
0.1	ZZ	1	25	-0.960789439153376
0.1	ZZ	1	26	-0.960789439153376
0.1	ZZ	1	27	-0.960789439153376
0.1	ZZ	1	28	-0.960789439153376
0.1	ZZ	1	29	-0.960789439153376
0.1	ZZ	1	30	-0.960789439153376
0.1	ZZ	2	1	0.960789439153376
0.1	ZZ	2	3	0.960789439153376
0.1	ZZ	2	4	0.960789439153376
0.1	ZZ	2	5	0.960789439153376
0.1	ZZ	2	6	0.960789439153376
0.1	ZZ	2	7	0.960789439153376
0.1	ZZ	2	8	0.960789439153376
0.1	ZZ	2	9	0.960789439153376
0.1	ZZ	2	10	0.960789439153377
0.1	ZZ	2	11	0.960789439153561
0.1	ZZ	2	12	0.960789440168093
0.1	ZZ	2	13	0.960786176089082
0.1	ZZ	2	14	0.960041457987834
0.1	ZZ	2	15	0.88718443773957
0.1	ZZ	2	16	-0.887183238005682
0.1	ZZ	2	17	-0.960042645737699
0.1	ZZ	2	18	-0.96078618966027
0.1	ZZ	2	19	-0.960789439633199
0.1	ZZ	2	20	-0.960789439153495
0.1	ZZ	2	21	-0.960789439153377
0.1	ZZ	2	22	-0.960789439153376
0.1	ZZ	2	23	-0.960789439153376
0.1	ZZ	2	24	-0.960789439153376
0.1	ZZ	2	25	-0.960789439153376
0.1	ZZ	2	26	-0.960789439153376
0.1	ZZ	2	27	-0.960789439153376
0.1	ZZ	2	28	-0.960789439153376
0.1	ZZ	2	29	-0.960789439153376
0.1	ZZ	2	30	-0.960789439153376
0.1	ZZ	3	1	0.960789439153376
0.1	ZZ	3	2	0.960789439153376
0.1	ZZ	3	4	0.960789439153376
0.1	ZZ	3	5	0.960789439153376
0.1	ZZ	3	6	0.960789439153376
0.1	ZZ	3	7	0.960789439153376
0.1	ZZ	3	8	0.960789439153376
0.1	ZZ	3	9	0.960789439153376
0.1	ZZ	3	10	0.960789439153377
0.1	ZZ	3	11	0.960789439153561
0.1	ZZ	3	12	0.960789440168093
