L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,6,1.1,32,32,1,1.0,0.09528638764905518,0.0,6.760417424750009,1
6,20,0.1,1.0,6,1.2,32,32,1,1.0,0.12607763166791125,0.0,6.583606978855105,1
6,20,0.1,1.0,6,1.3,32,32,1,1.0,0.161999063099657,0.0,6.459721848178014,1
6,20,0.1,1.0,6,1.4,32,32,1,1.0,0.1990852260344847,0.0,6.385930961815926,1
6,20,0.1,1.0,6,1.5,32,32,1,1.0,0.23271990906832665,0.0,6.353402700822115,1
6,20,0.1,1.0,6,1.6,32,32,1,1.0,0.25963351331470047,0.0,6.350856962370452,1
6,20,0.1,1.0,6,1.7,32,32,1,1.0,0.27895270707337844,0.0,6.36745205045485,1
6,20,0.1,1.0,6,1.8,32,32,1,1.0,0.2919586306352209,0.0,6.394115836183168,1
6,20,0.1,1.0,6,1.9,32,32,1,1.0,0.30100653327879034,0.0,6.423642385864635,1
6,20,0.1,1.0,6,2.0,32,32,1,1.0,0.3083144051809312,0.0,6.450379326268136,1
6,20,0.1,1.0,7,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,10.200920131780691,1
6,20,0.1,1.0,7,0.1,32,32,1,1.0,1.895404742664022e-05,0.0,10.177642303210082,1
6,20,0.1,1.0,7,0.2,32,32,1,1.0,0.0002633899861829356,0.0,10.125189002132764,1
6,20,0.1,1.0,7,0.3,32,32,1,1.0,0.001235128594532,0.0,10.036253034195106,1
6,20,0.1,1.0,7,0.4,32,32,1,1.0,0.0036541838617017764,0.0,9.902472064293224,1
6,20,0.1,1.0,7,0.5,32,32,1,1.0,0.008262700423621759,0.0,9.718063490729335,1
6,20,0.1,1.0,7,0.6,32,32,1,1.0,0.015601847278635146,0.0,9.482674153835633,1
6,20,0.1,1.0,7,0.7,32,32,1,1.0,0.025968521793298317,0.0,9.203075310969465,1
6,20,0.1,1.0,7,0.8,32,32,1,1.0,0.039701764552576,0.0,8.893763966227674,1
6,20,0.1,1.0,7,0.9,32,32,1,1.0,0.05768591106057318,0.0,8.576327284375227,1
6,20,0.1,1.0,7,1.0,32,32,1,1.0,0.08147171450936316,0.0,8.276995307461352,1
6,20,0.1,1.0,7,1.1,32,32,1,1.0,0.11226811057043902,0.0,8.021937075736124,1
6,20,0.1,1.0,7,1.2,32,32,1,1.0,0.1492521458324548,0.0,7.83105307771442,1
6,20,0.1,1.0,7,1.3,32,32,1,1.0,0.18879190376505217,0.0,7.712707039683081,1
6,20,0.1,1.0,7,1.4,32,32,1,1.0,0.22549474928197955,0.0,7.66231672468793,1
6,20,0.1,1.0,7,1.5,32,32,1,1.0,0.25437009344393235,0.0,7.665769759733724,1
6,20,0.1,1.0,7,1.6,32,32,1,1.0,0.27254965619982274,0.0,7.7055867923751435,1
6,20,0.1,1.0,7,1.7,32,32,1,1.0,0.2797654037545955,0.0,7.766414238730759,1
6,20,0.1,1.0,7,1.8,32,32,1,1.0,0.2778680009073808,0.0,7.837660520548688,1
6,20,0.1,1.0,7,1.9,32,32,1,1.0,0.2699355887285732,0.0,7.9132640366410065,1
6,20,0.1,1.0,7,2.0,32,32,1,1.0,0.25930265611379255,0.0,7.989951098485589,1
6,20,0.1,1.0,8,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.770620083011492,1
6,20,0.1,1.0,8,0.1,32,32,1,1.0,3.250156704823997e-05,0.0,9.727697047669643,1
6,20,0.1,1.0,8,0.2,32,32,1,1.0,0.00045948310588194856,0.0,9.655544649156687,1
6,20,0.1,1.0,8,0.3,32,32,1,1.0,0.0021686551782789934,0.0,9.548206698079465,1
6,20,0.1,1.0,8,0.4,32,32,1,1.0,0.006393636811029722,0.0,9.39784683904873,1
6,20,0.1,1.0,8,0.5,32,32,1,1.0,0.014285851972278274,0.0,9.197548860064582,1
6,20,0.1,1.0,8,0.6,32,32,1,1.0,0.02645450245501412,0.0,8.94438797703111,1
6,20,0.1,1.0,8,0.7,32,32,1,1.0,0.042866117542652786,0.0,8.642537271113547,1
6,20,0.1,1.0,8,0.8,32,32,1,1.0,0.06342727456142926,0.0,8.306035252096969,1
6,20,0.1,1.0,8,0.9,32,32,1,1.0,0.08931099424007855,0.0,7.960204689537191,1
