case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_padded4,24,1.1087796275636436e-12,8.0,0.3333333333333333,recovered,0.020746838999912143,0.014376723003806546,0.6929596843098569
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_unpadded,32,0.00529214205351481,8.0,0.25,recovered,0.016777101991465315,0.014376723003806546,0.8569252908589418
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_padded4,32,1.1087796275636436e-12,8.0,0.25,recovered,0.020847899999353103,0.014376723003806546,0.6896005355096987
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.05248631534466241,8.0,0.5,recovered,0.01682126199011691,0.014439711987506598,0.8584202538424551
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_padded4,16,1.6023577502471038e-14,8.0,0.5,recovered,0.0213742759951856,0.014439711987506598,0.6755649637329957
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.05248631534466241,8.0,0.3333333333333333,recovered,0.016711499003577046,0.014439711987506598,0.8640584536680893
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_padded4,24,1.6023577502471038e-14,8.0,0.3333333333333333,recovered,0.021273267004289664,0.014439711987506598,0.6787726579370668
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.05248631534466241,8.0,0.25,recovered,0.016695676997187547,0.014439711987506598,0.864877296676201
periodic_1d_n8_d4_s2_medium,periodic_1d,hybrid_tdvp_padded4,32,1.6023577502471038e-14,8.0,0.25,recovered,0.02158663400041405,0.014439711987506598,0.6689191092612972
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_unpadded,16,0.012255708156261806,8.0,0.5,recovered,0.03222682200430427,0.028998633002629504,0.8998291236646417
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_padded4,16,1.2476928902252097e-14,8.0,0.5,recovered,0.0419748270069249,0.028998633002629504,0.6908577133110134
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_unpadded,24,0.012255708156261806,8.0,0.3333333333333333,recovered,0.032350056993891485,0.028998633002629504,0.896401295617661
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_padded4,24,1.2476928902252097e-14,8.0,0.3333333333333333,recovered,0.041750372998649254,0.028998633002629504,0.6945718306173623
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_unpadded,32,0.012255708156261806,8.0,0.25,recovered,0.03231314101140015,0.028998633002629504,0.8974253846878805
periodic_1d_n8_d8_s0_small,periodic_1d,hybrid_tdvp_padded4,32,1.2476928902252097e-14,8.0,0.25,recovered,0.04191967200313229,0.028998633002629504,0.6917666960863312
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.029545165142466842,8.0,0.5,recovered,0.03217666799901053,0.028750454002874903,0.8935186826603367
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_padded4,16,1.862592215052752e-15,nan,,not_recovered,0.0421445989923086,nan,
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.029545165142466842,8.0,0.3333333333333333,recovered,0.032059907010989264,0.028750454002874903,0.8967728444446215
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_padded4,24,1.862592215052752e-15,nan,,not_recovered,0.042045843991218135,nan,
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.029545165142466842,8.0,0.25,recovered,0.032201403999351896,0.028750454002874903,0.8928323126362301
periodic_1d_n8_d8_s0_medium,periodic_1d,hybrid_tdvp_padded4,32,1.862592215052752e-15,nan,,not_recovered,0.042084562010131776,nan,
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_unpadded,16,0.010398919999485716,8.0,0.5,recovered,0.03219678200548515,0.029214298992883414,0.9073670464304903
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_padded4,16,4.710937495857928e-13,8.0,0.5,recovered,0.04155648699088488,0.029214298992883414,0.7030021329592023
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_unpadded,24,0.010398919999485716,8.0,0.3333333333333333,recovered,0.03218489199934993,0.029214298992883414,0.9077022533887479
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_padded4,24,4.710937495857928e-13,8.0,0.3333333333333333,recovered,0.04165130600449629,0.029214298992883414,0.7014017517176943
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.010398919999485716,8.0,0.25,recovered,0.03223383499425836,0.029214298992883414,0.90632402250887
periodic_1d_n8_d8_s1_small,periodic_1d,hybrid_tdvp_padded4,32,4.710937495857928e-13,8.0,0.25,recovered,0.04171251200023107,0.029214298992883414,0.7003725642972923
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.004678503963280067,8.0,0.5,recovered,0.03234510800393764,0.028834529002779163,0.8914649164030893
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_padded4,16,1.2296755152654958e-13,8.0,0.5,recovered,0.041696851010783575,0.028834529002779163,0.6915277365986707
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.004678503963280067,8.0,0.3333333333333333,recovered,0.03232450499490369,0.028834529002779163,0.8920331187538754
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_padded4,24,1.2296755152654958e-13,8.0,0.3333333333333333,recovered,0.041796987992711365,0.028834529002779163,0.6898709784496285
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.004678503963280067,8.0,0.25,recovered,0.032224163005594164,0.028834529002779163,0.8948107976543392
periodic_1d_n8_d8_s1_medium,periodic_1d,hybrid_tdvp_padded4,32,1.2296755152654958e-13,8.0,0.25,recovered,0.04176201699010562,0.028834529002779163,0.6904486679752734
