case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,8,padded4,0.006106820629112293,0.00044660444658309713,0.07313207210541846,0.04210022322797952,1.6276778298736834,1.0,tdvp_win
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,16,unpadded,0.0006757854180345558,6.636131852526874e-05,0.09819880209648946,0.39238732545701516,1.6659356407128034,1.0,tdvp_win
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,16,padded4,0.0006757854180345558,0.00044660444658309713,0.6608672437502349,1.0754650843938198,1.4997453980398536,0.5,similar
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,32,unpadded,3.506636438453352e-08,6.636131852526874e-05,1892.4493511091864,37399604.30381726,1.6891551513137044,0.5714285714285714,tebd_win
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,32,padded4,3.506636438453352e-08,0.00044660444658309713,12735.978035409851,102505779.33946668,1.4898293809036505,0.2857142857142857,tebd_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,8,unpadded,0.0015730512320134614,0.00045105576815688246,0.28673940109346835,0.20827670247011157,1.5815188201922024,1.0,tdvp_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,8,padded4,0.0015730512320134614,0.0004518916902841611,0.2872708028115222,0.20828002193733777,1.6103570950091788,1.0,tdvp_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,16,unpadded,0.001513207925962874,0.00045105576815688246,0.29807917366667885,0.41143383693135127,1.7039855049236625,0.5,tdvp_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,16,padded4,0.001513207925962874,0.0004518916902841611,0.2986315908943026,0.41144039427128054,1.499776993915333,0.5,tdvp_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,32,unpadded,5.630852582667895e-08,0.00045105576815688246,8010.43468169029,129352106.22511017,1.4525856502789343,0.2857142857142857,tebd_win
sparse_long_range_n10_d4_s1_small,sparse_long_range,10,4,1,small,32,padded4,5.630852582667895e-08,0.0004518916902841611,8025.2800734849825,129354167.80987775,2.4021677167106557,0.2857142857142857,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,24,unpadded,2.940202696472919e-15,0.006388952049136069,2172963128290.5378,48618655988839.69,1.1685621181478287,0.5,tebd_win
periodic_1d_n8_d4_s0_small,periodic_1d,8,4,0,small,24,padded4,2.940202696472919e-15,1.4156463570629261e-12,481.4791710657031,0.0,1.4823185238020251,1.0,both_good
