case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome,tebd_accuracy_limited,tebd_bond_limited,tebd_hit_chi_max,tdvp_hit_chi_max
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,16,padded4,0.017941744051952927,0.006553339281127867,0.3652565359394115,0.14930132130509755,1.8577296552371891,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,24,unpadded,0.023910014544359457,0.006283839451876814,0.2628120296714423,0.139524838743017,1.964340314667093,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,24,padded4,0.023910014544359457,0.0037752371658512055,0.1578935537177166,0.10590278268347078,1.8409488134428815,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,32,unpadded,0.00963796047345197,0.0030896230117628937,0.320568134749395,0.4028764908379065,10.533829588820247,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,32,padded4,0.00963796047345197,0.0030974140315444734,0.3213765028479196,0.3079313259851378,7.883969306295377,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,48,unpadded,0.0011667377895400548,0.003384758858679787,2.9010450240187287,9.987597378101992,9.745610894521805,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,48,padded4,0.0011667377895400548,0.0021321356241094133,1.8274334158233896,8.45306230226394,10.960287070904098,1.0,similar,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,8,unpadded,0.037417034631109576,0.0021717105643501463,0.058040691512857755,0.05257699725944182,2.21713485883823,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,8,padded4,0.037417034631109576,0.002634080096812298,0.07039788488803038,0.0678820146557155,2.2350719042573552,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,16,unpadded,0.019265826839748982,0.0010600288618361864,0.05502119741101118,0.019466188900807445,1.7106032645859301,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,16,padded4,0.019265826839748982,0.0016648842020163639,0.08641644170606777,0.03753208233565199,1.7380276227457503,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,24,unpadded,0.044910667905312174,0.0004470996641903014,0.009955310954914948,0.009793283911313387,1.8885490913309957,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,24,padded4,0.044910667905312174,0.0005102974507335143,0.01136249970295264,0.010348661164259478,1.7538263561986676,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,32,unpadded,0.0034521072949090133,0.00034697889748705224,0.10051219960595041,0.07485978452136038,6.823101490302016,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,32,padded4,0.0034521072949090133,0.0006510912160006162,0.1886068885983965,0.08111014994561479,6.055113309056624,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,48,unpadded,0.002951495594406949,0.0006109434125557853,0.20699451956273157,0.13568015846899734,2.6481580011037447,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_small,sparse_long_range,12,8,1,small,48,padded4,0.002951495594406949,0.0006024240151992658,0.20410805164027773,0.1391535136118259,2.743646315198737,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s1_medium,sparse_long_range,12,8,1,medium,8,unpadded,0.03400953702841691,0.010015515911843515,0.29449139232548155,0.09319802473007749,2.2157799700345007,1.0,tdvp_win,True,True,True,True
