case_id,family,chi_max,unpadded_error,padded4_error,error_ratio,classification
sparse_long_range_n8_d8_s0_medium,sparse_long_range,48,0.002849077865399148,0.002849077865395635,0.999999999998767,padding_neutral
sparse_long_range_n8_d8_s0_medium,sparse_long_range,64,0.002849077865399148,0.002849077865395635,0.999999999998767,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,8,0.00040291112321691686,0.0004559188012394125,1.1315617141549048,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,16,0.00040036370762919,0.00038490316331275636,0.9613837517691466,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,24,0.00040036370762919,0.00038490316331275636,0.9613837517691466,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,32,0.00040036370762919,0.00038490316331275636,0.9613837517691466,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,48,0.00040036370762919,0.00038490316331275636,0.9613837517691466,padding_neutral
sparse_long_range_n8_d8_s1_small,sparse_long_range,64,0.00040036370762919,0.00038490316331275636,0.9613837517691466,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,8,0.003543066040961562,0.003543066040960579,0.9999999999997227,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,16,0.002821728690807501,0.002821728690807254,0.9999999999999125,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,24,0.002821728690807501,0.002821728690807254,0.9999999999999125,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,32,0.002821728690807501,0.002821728690807254,0.9999999999999125,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,48,0.002821728690807501,0.002821728690807254,0.9999999999999125,padding_neutral
sparse_long_range_n8_d8_s1_medium,sparse_long_range,64,0.002821728690807501,0.002821728690807254,0.9999999999999125,padding_neutral
sparse_long_range_n8_d8_s2_small,sparse_long_range,8,0.0013351872230414662,0.002275426367801043,1.7042002264055343,padding_harmful
sparse_long_range_n8_d8_s2_small,sparse_long_range,16,0.001267973126271077,0.0013448989687753095,1.0606683540135113,padding_neutral
sparse_long_range_n8_d8_s2_small,sparse_long_range,24,0.001267973126271077,0.0013448989687753095,1.0606683540135113,padding_neutral
sparse_long_range_n8_d8_s2_small,sparse_long_range,32,0.001267973126271077,0.0013448989687753095,1.0606683540135113,padding_neutral
sparse_long_range_n8_d8_s2_small,sparse_long_range,48,0.001267973126271077,0.0013448989687753095,1.0606683540135113,padding_neutral
sparse_long_range_n8_d8_s2_small,sparse_long_range,64,0.001267973126271077,0.0013448989687753095,1.0606683540135113,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,8,0.006136711810269774,0.006136711810303715,1.000000000005531,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,16,0.002037828870524984,0.0020378288705246825,0.9999999999998521,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,24,0.002037828870524984,0.0020378288705246825,0.9999999999998521,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,32,0.002037828870524984,0.0020378288705246825,0.9999999999998521,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,48,0.002037828870524984,0.0020378288705246825,0.9999999999998521,padding_neutral
sparse_long_range_n8_d8_s2_medium,sparse_long_range,64,0.002037828870524984,0.0020378288705246825,0.9999999999998521,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,8,0.00043862925318908174,0.00043572624862192117,0.9933816439600093,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,16,0.00031653924826455715,0.0003152823282554864,0.9960291811648575,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,24,0.00031653924826455715,0.0003152823282554864,0.9960291811648575,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,32,0.00031653924826455715,0.0003152823282554864,0.9960291811648575,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,48,0.00031653924826455715,0.0003152823282554864,0.9960291811648575,padding_neutral
sparse_long_range_n12_d4_s0_small,sparse_long_range,64,0.00031653924826455715,0.0003152823282554864,0.9960291811648575,padding_neutral
sparse_long_range_n12_d4_s0_medium,sparse_long_range,8,0.0024980202216190604,0.002171154129239498,0.8691499414013116,padding_neutral
sparse_long_range_n12_d4_s0_medium,sparse_long_range,16,0.0014816357050438551,0.001947224412742858,1.3142396650634318,padding_harmful
sparse_long_range_n12_d4_s0_medium,sparse_long_range,24,0.0018590557829813775,0.0014353756471035485,0.7720992883826374,padding_neutral
sparse_long_range_n12_d4_s0_medium,sparse_long_range,32,0.0017697141027476252,0.001369786495325282,0.774015697336975,padding_neutral
sparse_long_range_n12_d4_s0_medium,sparse_long_range,48,0.0017688868731718021,0.001369786495325282,0.7743776699914728,padding_neutral
sparse_long_range_n12_d4_s0_medium,sparse_long_range,64,0.0017688868731718021,0.001369786495325282,0.7743776699914728,padding_neutral
sparse_long_range_n12_d4_s1_small,sparse_long_range,8,0.0006211551968616815,0.0006082721660178966,0.9792595620082145,padding_neutral
sparse_long_range_n12_d4_s1_small,sparse_long_range,16,0.0004224877890719736,0.0003893173424594027,0.9214877980605493,padding_neutral
sparse_long_range_n12_d4_s1_small,sparse_long_range,24,0.0003219759540262926,0.0002511277093774753,0.77995796343527,padding_neutral
