case_id,family,method,chi_max,J_over_pi,seed,lattice_shape,depth_or_cycles,patch_shape,patch_sites,ipr2_z,s2_z,ipr2_z_error,s2_z_error,reference_type,mean_abs_z_parity_error,max_abs_z_parity_error,num_z_parity_terms
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.929288897384277,0.07333561177927235,0.005051389018040808,0.005450584904846109,exact_statevector,0.005629019714213782,0.010214926023074167,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,0,3x4,2,1x2,"[5, 4]",0.9383973036448663,0.06358185500072248,0.008532292016404042,0.009133997155817253,exact_statevector,0.005629019714213782,0.010214926023074167,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,32,0.01,0,3x4,2,1x1,[5],0.9416621327672527,0.06010873884173598,0.0003195726208260474,0.00033931321560781713,exact_statevector,0.000868367979691733,0.001773419529688347,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,32,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9257388428794429,0.0771631112411186,0.0015013345132066647,0.0016230854429998554,exact_statevector,0.000868367979691733,0.001773419529688347,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,32,0.01,0,3x4,2,1x2,"[5, 4]",0.9313766707598503,0.07109149624610428,0.0015116591313880656,0.0016243559104354571,exact_statevector,0.000868367979691733,0.001773419529688347,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.01,0,3x4,2,1x1,[5],0.9482969056049748,0.05308763419492695,0.006315200216896022,0.006681791431201213,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9298109822799813,0.07277395835210623,0.005573473913745075,0.006012238332012226,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,32,0.01,0,3x4,2,1x2,"[5, 4]",0.9389265461087498,0.06301802848994384,0.00906153448028757,0.009697823666595898,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.01,0,3x4,2,1x1,[5],0.9482969056049748,0.05308763419492695,0.006315200216896022,0.006681791431201213,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9298109822799813,0.07277395835210623,0.005573473913745075,0.006012238332012226,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,32,0.01,0,3x4,2,1x2,"[5, 4]",0.9389265461087498,0.06301802848994384,0.00906153448028757,0.009697823666595898,exact_statevector,0.005648757949036429,0.010976771551469922,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,64,0.01,0,3x4,2,1x1,[5],0.9419818199077254,0.05976930405302431,1.1451964665454284e-07,1.2157310385479958e-07,exact_statevector,6.832867775626154e-08,1.241963825115988e-07,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,64,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9242376378094924,0.07878605663002415,1.294432562248815e-07,1.4005409430806193e-07,exact_statevector,6.832867775626154e-08,1.241963825115988e-07,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,64,0.01,0,3x4,2,1x2,"[5, 4]",0.9298651420439209,0.07271571190451619,1.3041545865455362e-07,1.4025202355050226e-07,exact_statevector,6.832867775626154e-08,1.241963825115988e-07,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.01,0,3x4,2,1x1,[5],0.9524366801883148,0.0487316516835903,0.01045497480023605,0.011037773942537861,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9344383414678149,0.06780963450106943,0.01020083310157871,0.01097656218304903,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.01,0,3x4,2,1x2,"[5, 4]",0.9435864999521064,0.05806723851142636,0.013721488323644171,0.014648613645113377,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.01,0,3x4,2,1x1,[5],0.9524366801883148,0.0487316516835903,0.01045497480023605,0.011037773942537861,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9344383414678149,0.06780963450106943,0.01020083310157871,0.01097656218304903,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.01,0,3x4,2,1x2,"[5, 4]",0.9435864999521064,0.05806723851142636,0.013721488323644171,0.014648613645113377,exact_statevector,0.006378424016899632,0.014576453363454367,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,tebd_swap,16,0.01,1,3x4,2,1x1,[5],0.91744566092154,0.08616192596092524,0.0215852365440814,0.023255030294929077,exact_statevector,0.014343567865422608,0.030591702026350864,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,tebd_swap,16,0.01,1,3x4,2,2x2,"[4, 5, 10, 11]",0.8841794690523769,0.12309521766010174,0.00960457756078048,0.010922131317403397,exact_statevector,0.014343567865422608,0.030591702026350864,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,tebd_swap,16,0.01,1,3x4,2,1x2,"[5, 4]",0.9137748593205103,0.0901710624655006,0.010305708130414204,0.011342250741754226,exact_statevector,0.014343567865422608,0.030591702026350864,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,1,3x4,2,1x1,[5],0.9357582209505524,0.06639814682282941,0.0032726765150690174,0.0034912511568332416,exact_statevector,0.01223768900225815,0.027364276366527496,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,1,3x4,2,2x2,"[4, 5, 10, 11]",0.8943807266140629,0.11162372576913863,0.019805835122466475,0.022393623208366506,exact_statevector,0.01223768900225815,0.027364276366527496,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,1,3x4,2,1x2,"[5, 4]",0.9243246517229367,0.07869191437255063,0.020855500532840576,0.0228213988347042,exact_statevector,0.01223768900225815,0.027364276366527496,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,1,3x4,2,1x1,[5],0.9357582209505524,0.06639814682282941,0.0032726765150690174,0.0034912511568332416,exact_statevector,0.01223768900225815,0.027364276366527496,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,1,3x4,2,2x2,"[4, 5, 10, 11]",0.8943807266140629,0.11162372576913863,0.019805835122466475,0.022393623208366506,exact_statevector,0.01223768900225815,0.027364276366527496,22
heisenberg_floquet_2d_3x4_c2_J0.01_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,1,3x4,2,1x2,"[5, 4]",0.9243246517229367,0.07869191437255063,0.020855500532840576,0.0228213988347042,exact_statevector,0.01223768900225815,0.027364276366527496,22
