model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,hybrid_tdvp,32,3,0.30000000000000004,0.00044736968938574595,0.9995526303106143,0.9999999999733399,2.666011855723127e-11,0.021152298586474803,21,26,6514,104224,8064,129024,1.0755830790149048,1.8792612749966793,6.302239914927721e-12,0.0,2,,,,0,
ising,hybrid_tdvp,32,4,0.4,0.00044734135206248027,0.9995526586479375,0.9999999999982535,1.7464918400378338e-12,0.02115162858570057,32,32,13124,209984,13608,217728,2.078493523003999,3.9577547980006784,3.05523191620965e-08,0.0,2,,,,0,
ising,hybrid_tdvp,32,5,0.5,0.0004482857140379881,0.999551714285962,0.9999999966777677,3.322232267066738e-09,0.02117394543587263,32,32,14728,235648,15016,240256,9.547177013999317,13.504931811999995,5.661694472934824e-05,0.0,2,,,,0,
ising,hybrid_tdvp,32,6,0.6000000000000001,0.0004773157589863519,0.9995226842410136,0.9999999840612456,1.5938754427402557e-08,0.021848861072530222,32,32,15016,240256,15016,240256,11.638715408975258,25.143647220975254,0.00012149918314068348,0.0,2,,,,0,
ising,hybrid_tdvp,32,7,0.7000000000000001,0.0005540519420167422,0.9994459480579833,0.9999999433218452,5.66781548361206e-08,0.023539938544319766,32,32,15016,240256,15016,240256,13.653182211099193,38.796829432074446,0.00018709559776442267,0.0,2,,,,0,
ising,hybrid_tdvp,32,8,0.8,0.000726840818579988,0.99927315918142,0.999999815593208,1.8440679194764442e-07,0.026962435739265735,32,32,15016,240256,15016,240256,14.119527386385016,52.91635681845946,0.00027046729176615164,0.0,2,,,,0,
ising,hybrid_tdvp,32,9,0.9,0.0010913277067856608,0.9989086722932143,0.9999999999999991,8.881784197001252e-16,0.03303975814693628,32,32,15016,240256,15016,240256,14.657627972075716,67.57398479053518,0.0004150863766361913,0.0,2,,,,0,
ising,hybrid_tdvp,32,10,1.0,0.001821202702321667,0.9981787972976783,1.0,0.0,0.042685274428896365,32,32,15016,240256,15016,240256,14.239367885165848,81.81335267570103,0.0006434858375914617,0.0,2,,,,0,
ising,hybrid_tdvp,32,11,1.1,0.0031282808314310184,0.996871719168569,1.0,0.0,0.055952937375024735,32,32,15016,240256,15016,240256,14.944760536891408,96.75811321259243,0.0009642396593163877,0.0,2,,,,0,
ising,hybrid_tdvp,32,12,1.2000000000000002,0.005509080187581006,0.994490919812419,1.0,0.0,0.074274414511319,32,32,15016,240256,15016,240256,14.284841264307033,111.04295447689947,0.001740758138082036,0.0,2,,,,0,
