task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
chi_scan,variational_mpo,32,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.13393601099960506,259.58984375,0.9999999999999996,1.0000000000000022,0.0,1,0,
chi_scan,hybrid_tdvp,32,0.06283185307179587,0.01,0,64,2.5320656682481513e-10,0.9999999997467934,16,2680,1.1441273119999096,259.58984375,0.9999999999999996,0.9999999999991411,3.936209339413436e-12,,,
chi_scan,mpo_zipup,32,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.00730672397185117,259.58984375,0.9999999999999996,1.0000000000000009,2.3623946440532253e-31,,,
chi_scan,tebd_swap,32,0.06283185307179587,0.01,0,64,0.0,1.0000000000000022,16,2728,0.007968040998093784,259.58984375,0.9999999999999996,1.0000000000000016,1.678894052048886e-30,,,
chi_scan,variational_mpo,32,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.09484006802085787,259.58984375,0.9999999999999996,1.0000000000000009,0.0,1,0,
chi_scan,hybrid_tdvp,32,0.6283185307179586,0.1,0,64,8.909317728011956e-12,0.9999999999910907,16,2728,1.0849216260248795,259.58984375,0.9999999999999996,1.0000000000000275,9.457544065903174e-15,,,
chi_scan,mpo_zipup,32,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.010891965997871011,259.58984375,0.9999999999999996,0.9999999999999989,2.3786830794505395e-31,,,
chi_scan,tebd_swap,32,0.6283185307179586,0.1,0,64,1.9984014443252818e-15,0.999999999999998,16,2728,0.004959660989698023,259.58984375,0.9999999999999996,0.9999999999999993,1.6775062946441064e-30,,,
chi_scan,variational_mpo,32,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.14619429799495265,259.58984375,0.9999999999999996,0.9999999999999989,0.0,1,0,
chi_scan,hybrid_tdvp,32,1.8849555921538759,0.3,0,64,8.075917712346836e-11,0.9999999999192408,16,2728,1.2325863990117796,259.58984375,0.9999999999999996,1.0000000000000353,8.528966031616107e-14,,,
chi_scan,mpo_zipup,32,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.007953976979479194,259.58984375,0.9999999999999996,1.000000000000001,2.362418849462314e-31,,,
chi_scan,tebd_swap,32,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.008028620039112866,259.58984375,0.9999999999999996,1.0000000000000013,1.6406027247546618e-30,,,
chi_scan,variational_mpo,32,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.048668464994989336,259.58984375,0.9999999999999996,1.000000000000001,0.0,1,0,
chi_scan,hybrid_tdvp,64,0.006283185307179587,0.001,0,64,2.229595841285459e-09,0.9999999977704042,16,2376,1.1383585829753429,259.58984375,0.9999999999999996,0.9999999999914526,3.4820080319844884e-11,,,
chi_scan,mpo_zipup,64,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.008918264997191727,259.58984375,0.9999999999999996,1.0000000000000022,2.3723037474384163e-31,,,
chi_scan,tebd_swap,64,0.006283185307179587,0.001,0,64,0.0,1.0000000000000062,16,2728,0.008947474008891732,259.58984375,0.9999999999999996,1.0000000000000033,1.685581168132305e-30,,,
chi_scan,variational_mpo,64,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.169394074997399,259.58984375,0.9999999999999996,1.0000000000000022,0.0,1,0,
chi_scan,hybrid_tdvp,64,0.06283185307179587,0.01,0,64,2.5320656682481513e-10,0.9999999997467934,16,2680,1.1770715860184282,259.58984375,0.9999999999999996,0.9999999999991411,3.936209339413436e-12,,,
chi_scan,mpo_zipup,64,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.007953136984724551,259.58984375,0.9999999999999996,1.0000000000000009,2.3623946440532253e-31,,,
chi_scan,tebd_swap,64,0.06283185307179587,0.01,0,64,0.0,1.0000000000000022,16,2728,0.007954436005093157,259.58984375,0.9999999999999996,1.0000000000000016,1.678894052048886e-30,,,
chi_scan,variational_mpo,64,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.14811080397339538,259.58984375,0.9999999999999996,1.0000000000000009,0.0,1,0,
chi_scan,hybrid_tdvp,64,0.6283185307179586,0.1,0,64,8.909317728011956e-12,0.9999999999910907,16,2728,1.0428482729475945,259.58984375,0.9999999999999996,1.0000000000000275,9.457544065903174e-15,,,
chi_scan,mpo_zipup,64,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.007959830982144922,259.58984375,0.9999999999999996,0.9999999999999989,2.3786830794505395e-31,,,
chi_scan,tebd_swap,64,0.6283185307179586,0.1,0,64,1.9984014443252818e-15,0.999999999999998,16,2728,0.007893442001659423,259.58984375,0.9999999999999996,0.9999999999999993,1.6775062946441064e-30,,,
chi_scan,variational_mpo,64,0.6283185307179586,0.1,0,64,2.886579864025407e-15,0.9999999999999971,16,2728,0.13532772503094748,259.58984375,0.9999999999999996,0.9999999999999989,0.0,1,0,
