section,circuit,target_label,target_gate,sites,theta,theta_relative_to_original,method,tdvp_config,fidelity_error,phase_aligned_l2_error,state_delta_norm,tebd_error,enrichment_error,dense_exact_error,max_bond_before,max_bond_after,wall_time_s,window_size,tdvp_sweeps,tdvp_circuit_full_sweep,tdvp_error,estimated_order_p,error_at_original_theta,error_at_smallest_theta,monotonic_decrease,m,theta_per_substep
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,enrichment,,9.166001291305292e-13,9.59731623510897e-07,9.597316235104817e-07,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,dense_exact,,9.163780845256042e-13,9.597316235102596e-07,9.59731623509544e-07,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,current_local,0.008392737011417295,0.09161233123682565,0.09161233123682651,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,16,0.009603299986338243,1,1,False,0.008392737011417295,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,local_full_sweep,0.006532290107252314,0.09204126743479232,0.09204126743479984,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,15,0.014576799992937595,1,1,True,0.006532290107252314,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,local_many_sweeps,0.00021437267925161763,0.017617759773817642,0.017617759773822007,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,15,0.11687789999996312,1,8,True,0.00021437267925161763,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,2tdvp,full_chain_many_sweeps,0.0002143726800509782,0.017617759773806665,0.01761775977381698,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,15,0.3375473000050988,full,8,True,0.0002143726800509782,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,tebd,,9.170442183403793e-13,9.597316235122675e-07,9.597316235136877e-07,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,enrichment,,1.6402434965812063e-12,1.2823193636143014e-06,1.2823193636156922e-06,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,dense_exact,,9.161560399206792e-13,9.597316235154593e-07,9.597316235149163e-07,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,current_local,0.00402131459527566,0.06341384958283156,0.06341384958285269,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,15,0.009727299999212846,1,1,False,0.00402131459527566,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,local_full_sweep,0.001623075746363667,0.04592246331269257,0.045922463312714754,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,15,0.018842399993445724,1,1,True,0.001623075746363667,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.1,0.5,2tdvp,local_many_sweeps,5.164984222350011e-05,0.008697993517139985,0.008697993517146431,9.170442183403793e-13,1.6402434965812063e-12,9.161560399206792e-13,15,15,0.126571500004502,1,8,True,5.164984222350011e-05,,,,,,
