circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
rand_n10_d4_s2,current_projection_defect_router,10,4,0.0,1.6930901125533637e-14,1.2124268405269873e-15,1.9367347412602152e-14,X(8),2,,8,3.5555555555555554,800.0,0.022030899999663234,,,,,,
rand_n10_d4_s2,exact_pauli_enrichment,10,4,0.0,1.6930901125533637e-14,1.2124268405269873e-15,1.9367347412602152e-14,X(8),2,,8,3.5555555555555554,800.0,0.014366099989274517,,,,,,
rand_n10_d4_s2,subspace_expanded_tdvp,10,4,0.0064451881122364885,0.01306715643852785,0.000860877680307123,0.018349129598218314,Z(0),2,2,4,2.4444444444444446,184.0,0.03825599999981932,0.9933355905692642,0.006664409430735763,0.9933355905692642,0.006664409430735763,6.661338147750939e-16,
rand_n10_d4_s3,plain_tdvp,10,4,0.1520963230313397,0.21421599203784958,0.0314283761422381,0.4242649419446902,X(6),2,,2,1.8888888888888888,65.0,0.017453600012231618,,,,,,
rand_n10_d4_s3,current_projection_defect_router,10,4,0.0,1.9984014443252818e-15,5.707685036854972e-16,4.86370281346996e-15,Z(3),2,,4,2.2222222222222223,128.0,0.01837609999347478,,,,,,
rand_n10_d4_s3,exact_pauli_enrichment,10,4,0.0,1.9984014443252818e-15,5.707685036854972e-16,4.86370281346996e-15,Z(3),2,,4,2.2222222222222223,128.0,0.012527299986686558,,,,,,
rand_n10_d4_s3,subspace_expanded_tdvp,10,4,0.037482124272090855,0.10541474435126097,0.00950872471270069,0.1483460853898853,X(2),2,2,4,2.5555555555555554,203.0,0.034271599986823276,0.016739400771726736,0.9832605992282732,0.016739400771726736,0.9832605992282732,4.440892098500626e-16,
rand_n10_d4_s4,plain_tdvp,10,4,0.02869141975504852,0.05119247826044604,0.007189861265472332,0.09246886955004273,Z(9),2,,4,2.4444444444444446,178.0,0.021193399996263906,,,,,,
rand_n10_d4_s4,current_projection_defect_router,10,4,0.0,9.96425164601078e-15,1.5230766673445464e-15,1.4979731964125424e-14,Y(9),2,,4,2.4444444444444446,184.0,0.023857499996665865,,,,,,
rand_n10_d4_s4,exact_pauli_enrichment,10,4,2.220446049250313e-15,2.4424906541753444e-15,8.466354717009056e-16,7.263669224727329e-15,X(4),2,,4,2.4444444444444446,184.0,0.013202300004195422,,,,,,
