case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tdvp_padding_dim,tdvp_mean_obs_error,tebd_mean_obs_error,tdvp_error_over_tebd_error,tebd_error_over_tdvp_error,tdvp_peak_chi,tebd_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tdvp_time_over_tebd_time,tdvp_hit_chi_max,tebd_hit_chi_max,outcome
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,32,1,,4.937768299658312e-08,4.937768299658312e-08,1.0,1.0,14,14,1.0,0.8886700403262593,False,False,similar
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,64,1,,4.937768299658312e-08,4.937768299658312e-08,1.0,1.0,14,14,1.0,1.3306428629439917,False,False,similar
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,16,1,,1.6925511091876137e-15,1.6925511091876137e-15,1.0,1.0,16,16,1.0,1.1750978178052114,True,True,similar
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,32,1,,1.6925511091876137e-15,1.6925511091876137e-15,1.0,1.0,16,16,1.0,1.1133218078159204,False,False,similar
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,64,1,,1.6925511091876137e-15,1.6925511091876137e-15,1.0,1.0,16,16,1.0,0.7305787727414308,False,False,similar
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,16,1,,1.255820144927461e-07,1.255820144927461e-07,1.0,1.0,14,14,1.0,1.2584263597652325,False,False,similar
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,32,1,,1.255820144927461e-07,1.255820144927461e-07,1.0,1.0,14,14,1.0,0.9447134089771346,False,False,similar
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,64,1,,1.255820144927461e-07,1.255820144927461e-07,1.0,1.0,14,14,1.0,0.4678355941239429,False,False,similar
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,16,1,,1.856364764288695e-15,1.856364764288695e-15,1.0,1.0,16,16,1.0,0.9360384229640122,True,True,similar
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,32,1,,1.856364764288695e-15,1.856364764288695e-15,1.0,1.0,16,16,1.0,1.0122448037599145,False,False,similar
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,64,1,,1.856364764288695e-15,1.856364764288695e-15,1.0,1.0,16,16,1.0,0.7157602559037708,False,False,similar
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,16,1,,1.6789417242377278e-07,1.6789417242377278e-07,1.0,1.0,14,14,1.0,0.6934072004587457,False,False,similar
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,32,1,,1.6789417242377278e-07,1.6789417242377278e-07,1.0,1.0,14,14,1.0,0.9771479214987128,False,False,similar
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,64,1,,1.6789417242377278e-07,1.6789417242377278e-07,1.0,1.0,14,14,1.0,1.7363322144771158,False,False,similar
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,16,1,,8.688920119118545e-16,8.688920119118545e-16,0.8688920119118545,0.8688920119118545,16,16,1.0,1.198974991715228,True,True,similar
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,32,1,,8.688920119118545e-16,8.688920119118545e-16,0.8688920119118545,0.8688920119118545,16,16,1.0,1.168163992721615,False,False,similar
nn_brickwork_n8_d8_s2_medium,nn_brickwork,8,8,2,medium,64,1,,8.688920119118545e-16,8.688920119118545e-16,0.8688920119118545,0.8688920119118545,16,16,1.0,0.818214832523505,False,False,similar
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,16,1,,4.037675111867788e-08,4.037675111867788e-08,1.0,1.0,8,8,1.0,1.4909527065474857,False,False,similar
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,32,1,,4.037675111867788e-08,4.037675111867788e-08,1.0,1.0,8,8,1.0,0.5715202639952917,False,False,similar
nn_brickwork_n12_d4_s0_small,nn_brickwork,12,4,0,small,64,1,,4.037675111867788e-08,4.037675111867788e-08,1.0,1.0,8,8,1.0,1.480315529890972,False,False,similar
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,16,1,,1.0767125942281556e-15,1.0767125942281556e-15,1.0,1.0,8,8,1.0,0.8120088137925523,False,False,similar
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,32,1,,1.0767125942281556e-15,1.0767125942281556e-15,1.0,1.0,8,8,1.0,1.1996982171425992,False,False,similar
nn_brickwork_n12_d4_s0_medium,nn_brickwork,12,4,0,medium,64,1,,1.0767125942281556e-15,1.0767125942281556e-15,1.0,1.0,8,8,1.0,0.9851584988323012,False,False,similar
nn_brickwork_n12_d4_s1_small,nn_brickwork,12,4,1,small,16,1,,3.056426358892958e-08,3.056426358892958e-08,1.0,1.0,8,8,1.0,1.3318455903123236,False,False,similar
nn_brickwork_n12_d4_s1_small,nn_brickwork,12,4,1,small,32,1,,3.056426358892958e-08,3.056426358892958e-08,1.0,1.0,8,8,1.0,1.6292287021294254,False,False,similar
