family,angle_regime,n_qubits,depth,chi_max,dominant_outcome,tdvp_win_fraction,tebd_win_fraction,similar_fraction,both_fail_fraction,mean_tdvp_error_over_tebd_error,mean_tdvp_time_over_tebd_time,mean_tdvp_peak_chi_over_tebd_peak_chi,chi_saturation_fraction_tdvp,chi_saturation_fraction_tebd,interpretation
flattened_2d_grid,small,12,8,64,tebd_wins,0.0,1.0,0.0,0.0,6.547828420304156e-13,4.678778520252468,3.625,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,4,16,tebd_wins,0.0,1.0,0.0,0.0,1.2693789218737833e-12,2.591467480565399,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,4,32,tebd_wins,0.0,1.0,0.0,0.0,1.2739091696769897e-12,2.8235196675119756,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,4,64,tebd_wins,0.0,1.0,0.0,0.0,1.271849257678004e-12,2.9812101581511254,3.7916666666666665,0.3333333333333333,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,8,16,tebd_wins,0.0,1.0,0.0,0.0,7.563011798009904e-13,3.0212727755293662,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,8,32,tebd_wins,0.0,1.0,0.0,0.0,9.117097425787803e-13,4.013100542803971,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,16,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.0012759153632352e-12,6.924070521727281,4.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,4,16,tebd_wins,0.0,1.0,0.0,0.0,2.344223530502524e-13,2.1825414061212958,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,4,32,tebd_wins,0.0,1.0,0.0,0.0,2.344223530502524e-13,1.490864898361436,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,4,64,tebd_wins,0.0,1.0,0.0,0.0,2.344223530502524e-13,2.243829321759128,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,8,16,tebd_wins,0.0,1.0,0.0,0.0,1.7749774446367901e-13,2.933017140905328,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,8,32,tebd_wins,0.0,1.0,0.0,0.0,1.7749774446367901e-13,3.6975207211196057,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,8,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.7749774446367901e-13,2.648744005959672,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
nn_brickwork,medium,12,4,16,similar,0.0,0.0,1.0,0.0,1.0,0.7114551139623094,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,12,4,32,similar,0.0,0.0,1.0,0.0,1.0,0.9957218313052998,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,12,4,64,similar,0.0,0.0,1.0,0.0,1.0,1.3569223262515113,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,12,8,16,similar,0.0,0.0,1.0,0.0,1.0,0.999146464725628,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,12,8,32,similar,0.0,0.0,1.0,0.0,1.0,1.0545007348694353,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,12,8,64,similar,0.0,0.0,1.0,0.0,1.0,0.9744730457205435,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,4,16,similar,0.0,0.0,1.0,0.0,1.0,1.4777111707029482,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,4,32,similar,0.0,0.0,1.0,0.0,1.0,1.1423849094325609,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,4,64,similar,0.0,0.0,1.0,0.0,1.0,1.1858200575067908,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,8,16,similar,0.0,0.0,1.0,0.0,1.0,1.9719326328538258,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,8,32,similar,0.0,0.0,1.0,0.0,1.0,1.094257124728842,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,16,8,64,similar,0.0,0.0,1.0,0.0,1.0,1.2053806793840278,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,4,16,similar,0.0,0.0,1.0,0.0,1.277067651113992,1.0012827736889096,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,4,32,similar,0.0,0.0,1.0,0.0,1.277067651113992,1.1212937401294178,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,4,64,similar,0.0,0.0,1.0,0.0,1.277067651113992,1.227676655479978,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,8,16,similar,0.0,0.0,1.0,0.0,1.045699868640498,1.1033704108281503,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,8,32,similar,0.0,0.0,1.0,0.0,1.045699868640498,1.0979102014324833,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,medium,8,8,64,similar,0.0,0.0,1.0,0.0,1.045699868640498,0.7548512870562355,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,4,16,similar,0.0,0.0,1.0,0.0,1.0,1.2900504932979222,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,4,32,similar,0.0,0.0,1.0,0.0,1.0,1.080828309798454,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,4,64,similar,0.0,0.0,1.0,0.0,1.0,0.9544579569687546,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,8,16,similar,0.0,0.0,1.0,0.0,1.0,0.8594845004240151,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,8,32,similar,0.0,0.0,1.0,0.0,1.0,0.9881350275381373,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,12,8,64,similar,0.0,0.0,1.0,0.0,1.0,0.8821632669104048,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,4,16,similar,0.0,0.0,1.0,0.0,1.0,1.5856668921811903,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,4,32,similar,0.0,0.0,1.0,0.0,1.0,1.359701818312727,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,4,64,similar,0.0,0.0,1.0,0.0,1.0,1.1562210377048967,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,8,16,similar,0.0,0.0,1.0,0.0,1.0,2.1945853880421917,1.0,1.0,1.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,8,32,similar,0.0,0.0,1.0,0.0,1.0,1.1291819473737608,1.0,0.6666666666666666,0.6666666666666666,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,16,8,64,similar,0.0,0.0,1.0,0.0,1.0,1.6698031218377591,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,4,16,similar,0.0,0.0,1.0,0.0,1.0,0.8237120152515732,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,4,32,similar,0.0,0.0,1.0,0.0,1.0,1.3574500123142308,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,4,64,similar,0.0,0.0,1.0,0.0,1.0,1.3140442648875588,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,8,16,similar,0.0,0.0,1.0,0.0,1.0,0.9521210743604717,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,8,32,similar,0.0,0.0,1.0,0.0,1.0,0.936843790267369,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
nn_brickwork,small,8,8,64,similar,0.0,0.0,1.0,0.0,1.0,1.1782702238483502,1.0,0.0,0.0,Mixed / inconclusive: compare sweep_scaling and fixed_chi tables
periodic_1d,medium,12,4,16,tebd_wins,0.0,1.0,0.0,0.0,3.438087809031112e-14,1.1752188579195626,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,12,4,32,tebd_wins,0.0,1.0,0.0,0.0,3.438087809031112e-14,0.8816364853352011,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,12,4,64,tebd_wins,0.0,1.0,0.0,0.0,3.438087809031112e-14,0.9768637863935684,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,12,8,16,tebd_wins,0.0,1.0,0.0,0.0,7.683111096246387e-11,1.679094238459749,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,12,8,32,tebd_wins,0.0,1.0,0.0,0.0,7.683111096246387e-11,0.9794117890962589,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,12,8,64,tebd_wins,0.0,1.0,0.0,0.0,7.683111096246387e-11,1.3307353836064342,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,4,16,tebd_wins,0.0,1.0,0.0,0.0,2.450916196241179e-14,1.553276180029535,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,4,32,tebd_wins,0.0,1.0,0.0,0.0,2.450916196241179e-14,0.829753654859669,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,4,64,tebd_wins,0.0,1.0,0.0,0.0,2.450916196241179e-14,1.4123841865051077,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,8,16,tebd_wins,0.0,1.0,0.0,0.0,1.5511831113672064e-10,0.9986511042512977,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,8,32,tebd_wins,0.0,1.0,0.0,0.0,1.5511831113672064e-10,1.0764650644865954,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,16,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.5511831113672064e-10,1.2782797498890293,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,4,16,tebd_wins,0.0,1.0,0.0,0.0,5.907674022749728e-14,1.1917742066979296,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,4,32,tebd_wins,0.0,1.0,0.0,0.0,5.907674022749728e-14,1.0099571177560227,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,4,64,tebd_wins,0.0,1.0,0.0,0.0,5.907674022749728e-14,0.8026373115248178,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,8,16,tebd_wins,0.0,1.0,0.0,0.0,3.2114472078484687e-13,1.3735772063391127,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,8,32,tebd_wins,0.0,1.0,0.0,0.0,3.2114472078484687e-13,1.2576069859795667,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,medium,8,8,64,tebd_wins,0.0,1.0,0.0,0.0,3.2114472078484687e-13,1.5676342157920435,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,4,16,tebd_wins,0.0,1.0,0.0,0.0,2.0075470795465137e-11,0.9090807109132957,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,4,32,tebd_wins,0.0,1.0,0.0,0.0,2.0075470795465137e-11,1.0034282931637624,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,4,64,tebd_wins,0.0,1.0,0.0,0.0,2.0075470795465137e-11,1.7872087820407139,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,8,16,tebd_wins,0.0,1.0,0.0,0.0,2.1190298882552878e-11,1.372135778173764,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,8,32,tebd_wins,0.0,1.0,0.0,0.0,2.1190298882552878e-11,1.2067687031418763,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,12,8,64,tebd_wins,0.0,1.0,0.0,0.0,2.1190298882552878e-11,0.9117000904255391,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,16,4,16,tebd_wins,0.0,1.0,0.0,0.0,6.9174147237215e-10,1.2959954967581362,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,16,4,32,tebd_wins,0.0,1.0,0.0,0.0,6.9174147237215e-10,0.9817566717391086,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,16,4,64,tebd_wins,0.0,1.0,0.0,0.0,6.9174147237215e-10,0.8959936445066097,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
periodic_1d,small,16,8,16,tebd_wins,0.0,1.0,0.0,0.0,2.173395721144374e-09,1.059568537723875,0.5,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
