case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tebd_error,unpadded_tdvp_error,padded4_tdvp_error,tebd_fidelity,unpadded_tdvp_fidelity,padded4_tdvp_fidelity,tebd_peak_chi,unpadded_tdvp_peak_chi,padded4_tdvp_peak_chi,tebd_wall_time,unpadded_tdvp_wall_time,padded4_tdvp_wall_time,tebd_hit_chi_max,unpadded_tdvp_hit_chi_max,padded4_tdvp_hit_chi_max,padded4_error_over_tebd_error,padded4_peak_chi_over_tebd_peak_chi,padded4_time_over_tebd_time,unpadded_error_over_padded4_error,outcome
nn_brickwork_n16_d4_s1_medium,nn_brickwork,16,4,1,medium,16,1.6976808193692452e-15,1.6976808193692452e-15,1.6976808193692452e-15,1.0,1.0,1.0,8,8,8,0.04461710003670305,0.05908469995483756,0.040807100012898445,False,False,False,1.0,1.0,0.9146067310365216,1.0,similar
nn_brickwork_n16_d4_s1_medium,nn_brickwork,16,4,1,medium,32,1.6976808193692452e-15,1.6976808193692452e-15,1.6976808193692452e-15,1.0,1.0,1.0,8,8,8,0.060158299980685115,0.07530710002174601,0.021674899966455996,False,False,False,1.0,1.0,0.36029774733353676,1.0,similar
nn_brickwork_n16_d4_s1_medium,nn_brickwork,16,4,1,medium,64,1.6976808193692452e-15,1.6976808193692452e-15,1.6976808193692452e-15,1.0,1.0,1.0,8,8,8,0.08715350000420585,0.10984400002053007,0.08949450001819059,False,False,False,1.0,1.0,1.0268606540629093,1.0,similar
nn_brickwork_n16_d4_s2_small,nn_brickwork,16,4,2,small,16,2.9256094131933e-08,2.9256094131933e-08,2.9256094131933e-08,0.9999999999073548,0.9999999999073548,0.9999999999073548,8,8,8,0.07914419996086508,0.11214400001335889,0.06794020003871992,False,False,False,1.0,1.0,0.8584356159050787,1.0,similar
nn_brickwork_n16_d4_s2_small,nn_brickwork,16,4,2,small,32,2.9256094131933e-08,2.9256094131933e-08,2.9256094131933e-08,0.9999999999073548,0.9999999999073548,0.9999999999073548,8,8,8,0.11994740000227466,0.1147857999894768,0.16310259996680543,False,False,False,1.0,1.0,1.3597843718472629,1.0,similar
nn_brickwork_n16_d4_s2_small,nn_brickwork,16,4,2,small,64,2.9256094131933e-08,2.9256094131933e-08,2.9256094131933e-08,0.9999999999073548,0.9999999999073548,0.9999999999073548,8,8,8,0.0907945999642834,0.0911323000327684,0.10144149995176122,False,False,False,1.0,1.0,1.1172635816630732,1.0,similar
nn_brickwork_n16_d4_s2_medium,nn_brickwork,16,4,2,medium,16,2.5072293399823434e-15,2.5072293399823434e-15,2.5072293399823434e-15,1.0,1.0,1.0,8,8,8,0.12001169996801764,0.07744139997521415,0.11169350001728162,False,False,False,1.0,1.0,0.9306884249372955,1.0,similar
nn_brickwork_n16_d4_s2_medium,nn_brickwork,16,4,2,medium,32,2.5072293399823434e-15,2.5072293399823434e-15,2.5072293399823434e-15,1.0,1.0,1.0,8,8,8,0.06973160000052303,0.09423129999777302,0.09789299999829382,False,False,False,1.0,1.0,1.403854206666125,1.0,similar
nn_brickwork_n16_d4_s2_medium,nn_brickwork,16,4,2,medium,64,2.5072293399823434e-15,2.5072293399823434e-15,2.5072293399823434e-15,1.0,1.0,1.0,8,8,8,0.12210459995549172,0.08527770004002377,0.12320339999860153,False,False,False,1.0,1.0,1.0089988423328058,1.0,similar
nn_brickwork_n16_d8_s0_small,nn_brickwork,16,8,0,small,16,3.8180628465694305e-07,3.8180628465694305e-07,3.8180628465694305e-07,0.9999999686518979,0.9999999686518979,0.9999999686518979,16,16,16,0.22180479997768998,0.2167650000192225,0.2318313999567181,True,True,True,1.0,1.0,1.0452046122538223,1.0,similar
