L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,2,1.05,32,32,1,1.0,0.006068275912732569,0.0,7.5086842770786735,1
6,20,0.1,1.0,2,1.1,32,32,1,1.0,0.007166282487730654,0.0,7.368571594429161,1
6,20,0.1,1.0,2,1.1500000000000001,32,32,1,1.0,0.008395815956262383,0.0,7.23988728310582,1
6,20,0.1,1.0,2,1.2000000000000002,32,32,1,1.0,0.009752256427328212,0.0,7.12537045641085,1
6,20,0.1,1.0,2,1.25,32,32,1,1.0,0.011221570725811605,0.0,7.027312975941332,1
6,20,0.1,1.0,2,1.3,32,32,1,1.0,0.012779867455527213,0.0,6.947420937362116,1
6,20,0.1,1.0,2,1.35,32,32,1,1.0,0.01439471685402799,0.0,6.886711837921589,1
6,20,0.1,1.0,2,1.4000000000000001,32,32,1,1.0,0.0160281677082921,0.0,6.845460440869215,1
6,20,0.1,1.0,2,1.4500000000000002,32,32,1,1.0,0.017640929177450783,0.0,6.823198597904581,1
6,20,0.1,1.0,2,1.5,32,32,1,1.0,0.01919679894213791,0.0,6.8187684366397034,1
6,20,0.1,1.0,2,1.55,32,32,1,1.0,0.02066635223152332,0.0,6.830418679201962,1
6,20,0.1,1.0,2,1.6,32,32,1,1.0,0.022029199955862725,0.0,6.855931971973194,1
6,20,0.1,1.0,2,1.6500000000000001,32,32,1,1.0,0.023274665723598018,0.0,6.892766797817047,1
6,20,0.1,1.0,2,1.7000000000000002,32,32,1,1.0,0.02440102145733561,0.0,6.9382015193680715,1
6,20,0.1,1.0,2,1.75,32,32,1,1.0,0.025413921079670422,0.0,6.989469282249853,1
6,20,0.1,1.0,2,1.8,32,32,1,1.0,0.026324421608291158,0.0,7.043878322854588,1
6,20,0.1,1.0,2,1.85,32,32,1,1.0,0.02714710484679205,0.0,7.098914137901808,1
6,20,0.1,1.0,2,1.9000000000000001,32,32,1,1.0,0.027898420368473186,0.0,7.152323071391621,1
6,20,0.1,1.0,2,1.9500000000000002,32,32,1,1.0,0.028595368557183972,0.0,7.202177684294213,1
6,20,0.1,1.0,2,2.0,32,32,1,1.0,0.029254445044395134,0.0,7.246923952319085,1
6,20,0.1,1.0,3,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.255243795298279,1
6,20,0.1,1.0,3,0.05,32,32,1,1.0,1.986311947884419e-07,0.0,9.240928736281159,1
6,20,0.1,1.0,3,0.1,32,32,1,1.0,2.8298299601860015e-06,0.0,9.219954576149691,1
6,20,0.1,1.0,3,0.15000000000000002,32,32,1,1.0,1.359681964323556e-05,0.0,9.19207794150421,1
6,20,0.1,1.0,3,0.2,32,32,1,1.0,4.20213266868701e-05,0.0,9.156883529803597,1
6,20,0.1,1.0,3,0.25,32,32,1,1.0,0.00010185688084339128,0.0,9.113824753380653,1
6,20,0.1,1.0,3,0.30000000000000004,32,32,1,1.0,0.00021106895522288112,0.0,9.062277686649285,1
6,20,0.1,1.0,3,0.35000000000000003,32,32,1,1.0,0.0003911066456913055,0.0,9.001603636054135,1
6,20,0.1,1.0,3,0.4,32,32,1,1.0,0.0006654471810879744,0.0,8.931217930565632,1
6,20,0.1,1.0,3,0.45,32,32,1,1.0,0.0010575999266837644,0.0,8.850660653304722,1
6,20,0.1,1.0,3,0.5,32,32,1,1.0,0.0015889038108533227,0.0,8.759667457089426,1
6,20,0.1,1.0,3,0.55,32,32,1,1.0,0.0022764994139187183,0.0,8.65823560208803,1
6,20,0.1,1.0,3,0.6000000000000001,32,32,1,1.0,0.0031318469056906733,0.0,8.546683278477998,1
6,20,0.1,1.0,3,0.65,32,32,1,1.0,0.004160107384930041,0.0,8.425697245373282,1
6,20,0.1,1.0,3,0.7000000000000001,32,32,1,1.0,0.0053605416070200305,0.0,8.296364155031611,1
6,20,0.1,1.0,3,0.75,32,32,1,1.0,0.006728025368102792,0.0,8.160180964908342,1
6,20,0.1,1.0,3,0.8,32,32,1,1.0,0.008255540213913866,0.0,8.019039163134636,1
6,20,0.1,1.0,3,0.8500000000000001,32,32,1,1.0,0.009937405028705576,0.0,7.8751790747265105,1
6,20,0.1,1.0,3,0.9,32,32,1,1.0,0.011772760570168276,0.0,7.7311136269333325,1
6,20,0.1,1.0,3,0.9500000000000001,32,32,1,1.0,0.013768565009646079,0.0,7.589521714828591,1
6,20,0.1,1.0,3,1.0,32,32,1,1.0,0.01594124375217041,0.0,7.453118599275208,1
6,20,0.1,1.0,3,1.05,32,32,1,1.0,0.01831605103554188,0.0,7.324512053578903,1
6,20,0.1,1.0,3,1.1,32,32,1,1.0,0.020923577957339533,0.0,7.2060580673396455,1
