L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,4,0.9,32,32,1,1.0,0,0.0038652915771757628,0.0,17.54935101202189,32
6,20,0.1,1.0,4,0.9500000000000001,32,32,1,1.0,0,0.004644271660602452,0.0,17.206927359253733,32
6,20,0.1,1.0,4,1.0,32,32,1,1.0,0,0.0055686826953741,0.0,16.876491307445804,32
6,20,0.1,1.0,4,1.05,32,32,1,1.0,0,0.006667262102412362,0.0,16.56563882889119,32
6,20,0.1,1.0,4,1.1,32,32,1,1.0,0,0.00796349810008651,0.0,16.281211749005113,32
6,20,0.1,1.0,4,1.1500000000000001,32,32,1,1.0,0,0.009469880717672102,0.0,16.028863320561662,32
6,20,0.1,1.0,4,1.2000000000000002,32,32,1,1.0,0,0.01118312567284405,0.0,15.81270456350561,32
6,20,0.1,1.0,4,1.25,32,32,1,1.0,0,0.013081600967475383,0.0,15.635079433190043,32
6,20,0.1,1.0,4,1.3,32,32,1,1.0,0,0.015125731179623462,0.0,15.496503265064417,32
6,20,0.1,1.0,4,1.35,32,32,1,1.0,0,0.017261501395975255,0.0,15.3957740867614,32
6,20,0.1,1.0,4,1.4000000000000001,32,32,1,1.0,0,0.019426305314446196,0.0,15.330236089582607,32
6,20,0.1,1.0,4,1.4500000000000002,32,32,1,1.0,0,0.021555914491585403,0.0,15.296151096306787,32
6,20,0.1,1.0,4,1.5,32,32,1,1.0,0,0.02359117075339378,0.0,15.289118814528267,32
6,20,0.1,1.0,4,1.55,32,32,1,1.0,0,0.025483386972614295,0.0,15.304486077533978,32
6,20,0.1,1.0,4,1.6,32,32,1,1.0,0,0.027197893988032313,0.0,15.337696581251919,32
6,20,0.1,1.0,4,1.6500000000000001,32,32,1,1.0,0,0.02871563607019546,0.0,15.38455137884542,32
6,20,0.1,1.0,4,1.7000000000000002,32,32,1,1.0,0,0.030033015816416368,0.0,15.441368999005023,32
