panel,method,theta,median,min,max,median_display,min_display,max_display,sequence,gate_count,chi_max,x_median,x_min,x_max,y_median,y_min,y_max,y_median_display,y_min_display,y_max_display
b,hybrid_tdvp,,0.0006967319220394508,0.0002275820503913062,0.0008995691808033612,0.0006967319220394508,0.0002275820503913062,0.0008995691808033612,commuting,16,,,,,,,,,,
b,hybrid_tdvp,,0.000880502234862135,0.00027336765942265195,0.0011092896627079574,0.000880502234862135,0.00027336765942265195,0.0011092896627079574,commuting,17,,,,,,,,,,
b,hybrid_tdvp,,0.0011399286514232054,0.00034563018165023607,0.0014475738983771302,0.0011399286514232054,0.00034563018165023607,0.0014475738983771302,commuting,18,,,,,,,,,,
b,hybrid_tdvp,,0.0010600577957877722,0.0003376524660013702,0.0013444120726162634,0.0010600577957877722,0.0003376524660013702,0.0013444120726162634,commuting,19,,,,,,,,,,
b,hybrid_tdvp,,0.0012962309045345677,0.000395563333345228,0.001610288582495567,0.0012962309045345677,0.000395563333345228,0.001610288582495567,commuting,20,,,,,,,,,,
b,hybrid_tdvp,,0.0016130710592910935,0.0004820842983848106,0.002017674628811972,0.0016130710592910935,0.0004820842983848106,0.002017674628811972,commuting,21,,,,,,,,,,
b,hybrid_tdvp,,0.001522717456752587,0.0004733233954085092,0.0019003861553605894,0.001522717456752587,0.0004733233954085092,0.0019003861553605894,commuting,22,,,,,,,,,,
b,hybrid_tdvp,,0.00181718415979093,0.0005441313334472175,0.0022282469544018246,0.00181718415979093,0.0005441313334472175,0.0022282469544018246,commuting,23,,,,,,,,,,
b,hybrid_tdvp,,0.0021967950099140987,0.0006454624475559223,0.002710523601606285,0.0021967950099140987,0.0006454624475559223,0.002710523601606285,commuting,24,,,,,,,,,,
b,hybrid_tdvp,,0.002098499679249244,0.000636201182268592,0.002581747731510098,0.002098499679249244,0.000636201182268592,0.002581747731510098,commuting,25,,,,,,,,,,
b,hybrid_tdvp,,0.0024573519442908642,0.0007204918779627478,0.0029782179974150447,0.0024573519442908642,0.0007204918779627478,0.0029782179974150447,commuting,26,,,,,,,,,,
