experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,mpo_zipup,rxx,0.025,2,9,8,,,1,0.10486941980604414,0.10486941980604414,0.10486941980604414,1
A,mpo_zipup,rxx,0.05,2,9,16,,,1,3.3306690738754696e-15,3.3306690738754696e-15,3.3306690738754696e-15,1
A,mpo_zipup,rxx,0.05,2,9,64,,,1,3.3306690738754696e-15,3.3306690738754696e-15,3.3306690738754696e-15,1
A,mpo_zipup,rxx,0.05,2,9,8,,,1,0.10486941980604081,0.10486941980604081,0.10486941980604081,1
A,mpo_zipup,rxx,0.1,2,9,16,,,1,2.220446049250313e-15,2.220446049250313e-15,2.220446049250313e-15,1
A,mpo_zipup,rxx,0.1,2,9,64,,,1,2.220446049250313e-15,2.220446049250313e-15,2.220446049250313e-15,1
A,mpo_zipup,rxx,0.1,2,9,8,,,1,0.10486941980604092,0.10486941980604092,0.10486941980604092,1
A,mpo_zipup,rxx,0.2,2,9,16,,,1,2.886579864025407e-15,2.886579864025407e-15,2.886579864025407e-15,1
A,mpo_zipup,rxx,0.2,2,9,64,,,1,2.886579864025407e-15,2.886579864025407e-15,2.886579864025407e-15,1
A,mpo_zipup,rxx,0.2,2,9,8,,,1,0.1048694198060447,0.1048694198060447,0.1048694198060447,1
A,mpo_zipup,ryy,0.025,2,9,16,,,1,3.774758283725532e-15,3.774758283725532e-15,3.774758283725532e-15,1
A,mpo_zipup,ryy,0.025,2,9,64,,,1,3.774758283725532e-15,3.774758283725532e-15,3.774758283725532e-15,1
A,mpo_zipup,ryy,0.025,2,9,8,,,1,0.09489654743468401,0.09489654743468401,0.09489654743468401,1
A,mpo_zipup,ryy,0.05,2,9,16,,,1,5.10702591327572e-15,5.10702591327572e-15,5.10702591327572e-15,1
A,mpo_zipup,ryy,0.05,2,9,64,,,1,5.10702591327572e-15,5.10702591327572e-15,5.10702591327572e-15,1
A,mpo_zipup,ryy,0.05,2,9,8,,,1,0.09489654743469034,0.09489654743469034,0.09489654743469034,1
A,mpo_zipup,ryy,0.1,2,9,16,,,1,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,1
A,mpo_zipup,ryy,0.1,2,9,64,,,1,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,1
A,mpo_zipup,ryy,0.1,2,9,8,,,1,0.09489654743468234,0.09489654743468234,0.09489654743468234,1
A,mpo_zipup,ryy,0.2,2,9,16,,,1,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,1
A,mpo_zipup,ryy,0.2,2,9,64,,,1,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,1
A,mpo_zipup,ryy,0.2,2,9,8,,,1,0.09489654743469167,0.09489654743469167,0.09489654743469167,1
A,mpo_zipup,rzz,0.025,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.025,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.025,2,9,8,,,1,0.10513203263806481,0.10513203263806481,0.10513203263806481,1
A,mpo_zipup,rzz,0.05,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.05,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.05,2,9,8,,,1,0.10513203263806226,0.10513203263806226,0.10513203263806226,1
A,mpo_zipup,rzz,0.1,2,9,16,,,1,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1
A,mpo_zipup,rzz,0.1,2,9,64,,,1,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1
A,mpo_zipup,rzz,0.1,2,9,8,,,1,0.10513203263806226,0.10513203263806226,0.10513203263806226,1
A,mpo_zipup,rzz,0.2,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.2,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rzz,0.2,2,9,8,,,1,0.10513203263806647,0.10513203263806647,0.10513203263806647,1
A,tebd_swap,rxx,0.025,2,9,16,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,rxx,0.025,2,9,64,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,rxx,0.025,2,9,8,,,1,0.5509776627434848,0.5509776627434848,0.5509776627434848,1
A,tebd_swap,rxx,0.05,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.05,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.05,2,9,8,,,1,0.5517297650000141,0.5517297650000141,0.5517297650000141,1
A,tebd_swap,rxx,0.1,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.1,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.1,2,9,8,,,1,0.5533362344977879,0.5533362344977879,0.5533362344977879,1
A,tebd_swap,rxx,0.2,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.2,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,rxx,0.2,2,9,8,,,1,0.5568310761720701,0.5568310761720701,0.5568310761720701,1
A,tebd_swap,ryy,0.025,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.025,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.025,2,9,8,,,1,0.5502067491780993,0.5502067491780993,0.5502067491780993,1
A,tebd_swap,ryy,0.05,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.05,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.05,2,9,8,,,1,0.5502866682492495,0.5502866682492495,0.5502866682492495,1
A,tebd_swap,ryy,0.1,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.1,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,ryy,0.1,2,9,8,,,1,0.5510429147182623,0.5510429147182623,0.5510429147182623,1
A,tebd_swap,ryy,0.2,2,9,16,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,ryy,0.2,2,9,64,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,ryy,0.2,2,9,8,,,1,0.5551068628036464,0.5551068628036464,0.5551068628036464,1
A,tebd_swap,rzz,0.025,2,9,16,,,1,0.0,0.0,0.0,1
A,tebd_swap,rzz,0.025,2,9,64,,,1,0.0,0.0,0.0,1
A,tebd_swap,rzz,0.025,2,9,8,,,1,0.5504949679303783,0.5504949679303783,0.5504949679303783,1
A,tebd_swap,rzz,0.05,2,9,16,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,rzz,0.05,2,9,64,,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,tebd_swap,rzz,0.05,2,9,8,,,1,0.5508092908572801,0.5508092908572801,0.5508092908572801,1
A,tebd_swap,rzz,0.1,2,9,16,,,1,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1
A,tebd_swap,rzz,0.1,2,9,64,,,1,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,1
A,tebd_swap,rzz,0.1,2,9,8,,,1,0.551858412938315,0.551858412938315,0.551858412938315,1
A,tebd_swap,rzz,0.2,2,9,16,,,1,5.773159728050814e-15,5.773159728050814e-15,5.773159728050814e-15,1
A,tebd_swap,rzz,0.2,2,9,64,,,1,5.773159728050814e-15,5.773159728050814e-15,5.773159728050814e-15,1
A,tebd_swap,rzz,0.2,2,9,8,,,1,0.5551709402633047,0.5551709402633047,0.5551709402633047,1
B,hybrid_tdvp,rxx,0.1,2,9,64,1,,1,0.0,0.0,0.0,1
B,hybrid_tdvp,rxx,0.1,2,9,64,8,,1,2.930233833353668e-11,2.930233833353668e-11,2.930233833353668e-11,1
B,hybrid_tdvp,rxx,0.1,2,9,8,1,,1,0.0010738649293019487,0.0010738649293019487,0.0010738649293019487,1
B,hybrid_tdvp,rxx,0.1,2,9,8,8,,1,0.0010802127063874734,0.0010802127063874734,0.0010802127063874734,1
B,hybrid_tdvp,rxx,0.1,3,8,64,1,,1,0.0,0.0,0.0,1
B,hybrid_tdvp,rxx,0.1,3,8,64,8,,1,1.5718981671852816e-11,1.5718981671852816e-11,1.5718981671852816e-11,1
B,hybrid_tdvp,rxx,0.1,3,8,8,1,,1,0.0012459357349260403,0.0012459357349260403,0.0012459357349260403,1
B,hybrid_tdvp,rxx,0.1,3,8,8,8,,1,0.001259105711031383,0.001259105711031383,0.001259105711031383,1
