case_id,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tebd_error,tdvp_error,tebd_fidelity,tdvp_fidelity,tebd_peak_chi,tdvp_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tebd_wall_time,tdvp_wall_time,tdvp_time_over_tebd_time,tebd_error_over_tdvp_error,tdvp_error_over_tebd_error,tebd_hit_chi_max,tdvp_hit_chi_max,tdvp_gate_count,tebd_gate_count,outcome
nn_brickwork_n8_d12_s1_small,8,12,1,small,32,1,1.3779244648118052e-07,1.0960152522112602e-05,0.9999999999242484,0.9999992926136642,16,16,1.0,0.04500529996585101,0.7024959999835119,15.609183818718012,0.012572128554158169,79.54102566579746,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s1_small,8,12,1,small,64,1,1.3779244648118052e-07,1.0960152522112602e-05,0.9999999999242484,0.9999992926136642,16,16,1.0,0.12192479998338968,0.7635370999923907,6.262360898655651,0.012572128554158169,79.54102566579746,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s1_medium,8,12,1,medium,16,1,1.976444801472204e-15,0.006089475825152091,1.0,0.9773727042949356,16,16,1.0,0.08892650000052527,0.6357190000126138,7.148813908214748,3.2456731223213945e-13,3081024990233.066,True,True,84,84,tebd_wins
nn_brickwork_n8_d12_s1_medium,8,12,1,medium,32,1,1.976444801472204e-15,0.006089475825152091,1.0,0.9773727042949356,16,16,1.0,0.07346180005697533,0.7025490999803878,9.56346154648411,3.2456731223213945e-13,3081024990233.066,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s1_medium,8,12,1,medium,64,1,1.976444801472204e-15,0.006089475825152091,1.0,0.9773727042949356,16,16,1.0,0.0740366000100039,0.7216889999690466,9.747732876327806,3.2456731223213945e-13,3081024990233.066,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s2_small,8,12,2,small,16,1,2.5501334748651547e-07,7.378702149362642e-06,0.9999999998758213,0.9999988327747229,15,15,1.0,0.10426180000649765,0.5387539999792352,5.167319190208301,0.034560731999263995,28.93457233548456,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s2_small,8,12,2,small,32,1,2.5501334748651547e-07,7.378702149362642e-06,0.9999999998758213,0.9999988327747229,15,15,1.0,0.08908220002194867,0.5355800000252202,6.012199966921118,0.034560731999263995,28.93457233548456,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s2_small,8,12,2,small,64,1,2.5501334748651547e-07,7.378702149362642e-06,0.9999999998758213,0.9999988327747229,15,15,1.0,0.12227829999756068,0.572256000014022,4.679947300751138,0.034560731999263995,28.93457233548456,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s2_medium,8,12,2,medium,16,1,1.6619394352776089e-15,0.005157726472730104,0.999999999999996,0.9848791913516185,16,16,1.0,0.05286990001332015,0.6821444999659434,12.90232248962231,3.2222325942730845e-13,3103438286166.2837,True,True,84,84,tebd_wins
nn_brickwork_n8_d12_s2_medium,8,12,2,medium,32,1,1.6619394352776089e-15,0.005157726472730104,0.999999999999996,0.9848791913516185,16,16,1.0,0.07516370003577322,0.4425603999989107,5.887953889820214,3.2222325942730845e-13,3103438286166.2837,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s2_medium,8,12,2,medium,64,1,1.6619394352776089e-15,0.005157726472730104,0.999999999999996,0.9848791913516185,16,16,1.0,0.03874699998414144,0.4523423999780789,11.674256075650135,3.2222325942730845e-13,3103438286166.2837,False,False,84,84,tebd_wins
nn_brickwork_n12_d4_s0_small,12,4,0,small,16,1,4.7392675131638686e-08,1.5233684425515704e-07,0.9999999999168672,0.9999999956331631,8,6,0.75,0.014862799958791584,0.37007209996227175,24.89921824880434,0.3111044827228939,3.2143541978169345,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s0_small,12,4,0,small,32,1,4.7392675131638686e-08,1.5233684425515704e-07,0.9999999999168672,0.9999999956331631,8,6,0.75,0.019819899986032397,0.2659103999612853,13.41633409596816,0.3111044827228939,3.2143541978169345,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s0_small,12,4,0,small,64,1,4.7392675131638686e-08,1.5233684425515704e-07,0.9999999999168672,0.9999999956331631,8,6,0.75,0.035091199970338494,0.31067649996839464,8.853401999105186,0.3111044827228939,3.2143541978169345,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s0_medium,12,4,0,medium,16,1,6.165392451492705e-16,4.7313030711944095e-05,0.9999999999999987,0.9985431412149461,8,8,1.0,0.047370399988722056,0.5774779000203125,12.190690814470607,1.303106640753889e-11,47313030711.94409,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s0_medium,12,4,0,medium,32,1,6.165392451492705e-16,4.7313030711944095e-05,0.9999999999999987,0.9985431412149461,8,8,1.0,0.09820269996998832,0.42779950000112876,4.356290612497094,1.303106640753889e-11,47313030711.94409,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s0_medium,12,4,0,medium,64,1,6.165392451492705e-16,4.7313030711944095e-05,0.9999999999999987,0.9985431412149461,8,8,1.0,0.06512859999202192,0.45841949997702613,7.038681931335563,1.303106640753889e-11,47313030711.94409,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_small,12,4,1,small,16,1,2.418988241567679e-08,8.66525024955176e-08,0.9999999999791414,0.999999999507607,8,6,0.75,0.03756149997934699,0.29102920001605526,7.748071833555003,0.279159651701093,3.5821795660883633,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_small,12,4,1,small,32,1,2.418988241567679e-08,8.66525024955176e-08,0.9999999999791414,0.999999999507607,8,6,0.75,0.026949099963530898,0.2840756999794394,10.541194339101018,0.279159651701093,3.5821795660883633,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_small,12,4,1,small,64,1,2.418988241567679e-08,8.66525024955176e-08,0.9999999999791414,0.999999999507607,8,6,0.75,0.1563736000098288,0.23489690001588315,1.5021518977699484,0.279159651701093,3.5821795660883633,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_medium,12,4,1,medium,16,1,1.5978953548055155e-15,3.175301426302468e-05,0.9999999999999918,0.9996468382265492,8,8,1.0,0.031248199986293912,0.21137549995910376,6.764405631422524,5.03226352487175e-11,19871773309.516525,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_medium,12,4,1,medium,32,1,1.5978953548055155e-15,3.175301426302468e-05,0.9999999999999918,0.9996468382265492,8,8,1.0,0.08265679999021813,0.29956090002087876,3.6241531254092796,5.03226352487175e-11,19871773309.516525,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s1_medium,12,4,1,medium,64,1,1.5978953548055155e-15,3.175301426302468e-05,0.9999999999999918,0.9996468382265492,8,8,1.0,0.04776569997193292,0.2987756000366062,6.255024007021073,5.03226352487175e-11,19871773309.516525,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_small,12,4,2,small,16,1,2.6843177404507073e-08,1.1815776096330738e-07,0.9999999999097133,0.9999999961737258,8,6,0.75,0.04918159998487681,0.306847799976822,6.239077217316572,0.22718082321179844,4.401779982405072,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_small,12,4,2,small,32,1,2.6843177404507073e-08,1.1815776096330738e-07,0.9999999999097133,0.9999999961737258,8,6,0.75,0.034947199979797006,0.45258990000002086,12.950677028822433,0.22718082321179844,4.401779982405072,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_small,12,4,2,small,64,1,2.6843177404507073e-08,1.1815776096330738e-07,0.9999999999097133,0.9999999961737258,8,6,0.75,0.06804980000015348,0.3209490000153892,4.716384177685538,0.22718082321179844,4.401779982405072,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_medium,12,4,2,medium,16,1,2.1327711370704624e-15,0.00013352613918271534,1.0,0.9990694934913814,8,8,1.0,0.020912299980409443,0.3360338000347838,16.068715557331277,1.5972686322878007e-11,62606876500.6472,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_medium,12,4,2,medium,32,1,2.1327711370704624e-15,0.00013352613918271534,1.0,0.9990694934913814,8,8,1.0,0.028582400002051145,0.3644990000175312,12.75256801358087,1.5972686322878007e-11,62606876500.6472,False,False,44,44,tebd_wins
nn_brickwork_n12_d4_s2_medium,12,4,2,medium,64,1,2.1327711370704624e-15,0.00013352613918271534,1.0,0.9990694934913814,8,8,1.0,0.016496600001119077,0.289446999959182,17.545857930697647,1.5972686322878007e-11,62606876500.6472,False,False,44,44,tebd_wins
