L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
4,2.0,1,7.959909393760708e-05,20,0.1,1.0,32,32,1,1.0
4,2.0,2,0.03745606766379651,20,0.1,1.0,32,32,1,1.0
4,2.0,3,0.1152469176294667,20,0.1,1.0,32,32,1,1.0
4,2.0,4,0.1205241009951722,20,0.1,1.0,32,32,1,1.0
4,2.0,5,0.1629749224463555,20,0.1,1.0,32,32,1,1.0
4,2.0,6,0.2821652528239592,20,0.1,1.0,32,32,1,1.0
4,2.0,7,0.48181961787113314,20,0.1,1.0,32,32,1,1.0
4,2.0,8,0.34920831417709625,20,0.1,1.0,32,32,1,1.0
4,2.0,9,0.44377635933658344,20,0.1,1.0,32,32,1,1.0
4,2.0,10,0.6134372037864371,20,0.1,1.0,32,32,1,1.0
4,2.0,11,0.4984988799888639,20,0.1,1.0,32,32,1,1.0
4,2.0,12,0.4486528913164487,20,0.1,1.0,32,32,1,1.0
4,2.0,13,0.37260029758278834,20,0.1,1.0,32,32,1,1.0
4,2.0,14,0.6343591625379821,20,0.1,1.0,32,32,1,1.0
4,2.0,15,0.2989333197269063,20,0.1,1.0,32,32,1,1.0
4,2.0,16,0.37427197399141454,20,0.1,1.0,32,32,1,1.0
4,2.0,17,0.37117950462869054,20,0.1,1.0,32,32,1,1.0
4,2.0,18,0.2877814841040142,20,0.1,1.0,32,32,1,1.0
4,2.0,19,0.2530095787360796,20,0.1,1.0,32,32,1,1.0
4,2.0,20,0.19883673607657265,20,0.1,1.0,32,32,1,1.0
5,0.5,1,1.3171032686286273e-06,20,0.1,1.0,32,32,1,1.0
5,0.5,2,0.001009425651122589,20,0.1,1.0,32,32,1,1.0
5,0.5,3,0.0023377393669901914,20,0.1,1.0,32,32,1,1.0
5,0.5,4,0.0021517670646867596,20,0.1,1.0,32,32,1,1.0
5,0.5,5,0.006196653711305598,20,0.1,1.0,32,32,1,1.0
5,0.5,6,0.00599765161577521,20,0.1,1.0,32,32,1,1.0
5,0.5,7,0.006632788166834124,20,0.1,1.0,32,32,1,1.0
5,0.5,8,0.009937201539011915,20,0.1,1.0,32,32,1,1.0
5,0.5,9,0.010655421364968111,20,0.1,1.0,32,32,1,1.0
5,0.5,10,0.012640572873797381,20,0.1,1.0,32,32,1,1.0
5,0.5,11,0.0073791474767364845,20,0.1,1.0,32,32,1,1.0
5,0.5,12,0.01031287797782906,20,0.1,1.0,32,32,1,1.0
5,0.5,13,0.005971125719422888,20,0.1,1.0,32,32,1,1.0
5,0.5,14,0.00558798000352481,20,0.1,1.0,32,32,1,1.0
5,0.5,15,0.002365656447282722,20,0.1,1.0,32,32,1,1.0
5,0.5,16,0.005367162303960025,20,0.1,1.0,32,32,1,1.0
5,0.5,17,0.004957295483551201,20,0.1,1.0,32,32,1,1.0
5,0.5,18,0.0041266814132795765,20,0.1,1.0,32,32,1,1.0
5,0.5,19,0.0034318634659592003,20,0.1,1.0,32,32,1,1.0
5,0.5,20,0.002164144908767249,20,0.1,1.0,32,32,1,1.0
5,1.0,1,1.0826501778159572e-05,20,0.1,1.0,32,32,1,1.0
5,1.0,2,0.008424702814526666,20,0.1,1.0,32,32,1,1.0
5,1.0,3,0.025409432744125084,20,0.1,1.0,32,32,1,1.0
5,1.0,4,0.024801604320888397,20,0.1,1.0,32,32,1,1.0
