run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,2.4,1,3,6,0.1,response_uncentered,True,1.306576823082529e-05,1.0000130658535884,0.9999991377012294,4,1.0000017245990944,1,1,1,3,3,1,4
main,exhaustive,0.4,2.4,2,3,6,0.1,process_tensor,True,0.0029327315268989217,1.0029370361911163,0.9996804547305227,11,1.000639300246292,1,1,1,62,61,60,64
main,exhaustive,0.4,2.4,2,3,6,0.1,response_centered,True,0.0062780853630085435,1.0062978338468465,0.9992379608116044,63,1.0015252519179714,1,1,1,62,61,59,64
main,exhaustive,0.4,2.4,2,3,6,0.1,response_uncentered,True,0.003044837708603954,1.0030494779353236,0.9996638247548348,64,1.0006725788733546,1,1,1,62,61,59,64
main,exhaustive,0.4,2.4,3,3,6,0.1,process_tensor,True,0.005754360460624771,1.0057709485955526,0.9993042254178635,4,1.001392517392861,1,1,1,14,14,13,16
main,exhaustive,0.4,2.4,3,3,6,0.1,response_centered,True,0.00923181749798484,1.0092745621608625,0.9988057233158742,12,1.0023914060630936,1,1,2,10,10,9,12
main,exhaustive,0.4,2.4,3,3,6,0.1,response_uncentered,True,0.005804028527376442,1.0058209045347615,0.9992974015099624,12,1.001406184305968,1,1,1,10,10,9,12
main,exhaustive,0.4,2.6,1,3,6,0.1,process_tensor,True,1.5051886225029072e-05,1.0000150519995052,0.9999990063018248,4,1.0000019873985033,1,1,1,3,3,1,4
main,exhaustive,0.4,2.6,1,3,6,0.1,response_centered,True,6.646084288408207e-05,1.0000664630514549,0.9999950426241542,3,1.0000099148030774,1,1,1,3,2,1,4
main,exhaustive,0.4,2.6,1,3,6,0.1,response_uncentered,True,1.845366590277906e-05,1.0000184538361727,0.9999987522998963,4,1.000002495403466,1,1,1,3,2,1,4
main,exhaustive,0.4,2.6,2,3,6,0.1,process_tensor,True,0.0034210459086773536,1.0034269043650097,0.9996210747172283,11,1.0007581470080151,1,1,1,62,61,60,64
main,exhaustive,0.4,2.6,2,3,6,0.1,response_centered,True,0.00858558279993796,1.0086225446198087,0.9989102130101507,63,1.0021819727344972,1,1,2,62,61,59,64
main,exhaustive,0.4,2.6,2,3,6,0.1,response_uncentered,True,0.004190053664427871,1.004198844212618,0.9995180998908992,64,1.0009642692583975,1,1,1,62,61,59,64
main,exhaustive,0.4,2.6,3,3,6,0.1,process_tensor,True,0.0065964290826371124,1.0066182334382203,0.9991871188943741,4,1.001627083801886,1,1,1,14,14,13,16
main,exhaustive,0.4,2.6,3,3,6,0.1,response_centered,True,0.011749472054740051,1.0118187682334212,0.9984233371816074,12,1.0031582975467859,1,1,2,10,10,9,12
main,exhaustive,0.4,2.6,3,3,6,0.1,response_uncentered,True,0.007433158730275792,1.007460853231312,0.9990683573244064,12,1.001865021334611,1,1,1,10,10,9,12
main,exhaustive,0.4,2.8,1,3,6,0.1,process_tensor,True,1.767123072904892e-05,1.0000176713868663,0.9999988231876628,4,1.000002353627733,1,1,1,3,2,1,4
main,exhaustive,0.4,2.8,1,3,6,0.1,response_centered,True,9.201820890480156e-05,1.0000920224427101,0.999992953544215,3,1.0000140930155101,1,1,1,3,2,1,4
main,exhaustive,0.4,2.8,1,3,6,0.1,response_uncentered,True,2.5583116965519697e-05,1.0000255834442162,0.9999982288787048,4,1.000003542249166,1,1,1,3,2,1,4
main,exhaustive,0.4,2.8,2,3,6,0.1,process_tensor,True,0.0038673337718209827,1.0038748215565483,0.9995662581177541,11,1.0008678745019584,1,1,1,62,61,60,64
main,exhaustive,0.4,2.8,2,3,6,0.1,response_centered,True,0.011469819735206842,1.0115358503291054,0.9984791661129312,63,1.0030463362573505,1,1,2,62,61,59,64
main,exhaustive,0.4,2.8,2,3,6,0.1,response_uncentered,True,0.005635369261553445,1.0056512778244135,0.9993255840450445,64,1.0013497499676678,1,1,1,62,61,59,64
main,exhaustive,0.4,2.8,3,3,6,0.1,process_tensor,True,0.007315919776082604,1.007342746497979,0.9990851318320053,4,1.001831410362758,1,1,1,14,14,13,16
main,exhaustive,0.4,2.8,3,3,6,0.1,response_centered,True,0.014548112515513849,1.0146544513550813,0.9979806818791203,12,1.004046791819381,1,1,2,10,10,9,12
main,exhaustive,0.4,2.8,3,3,6,0.1,response_uncentered,True,0.009266036828290216,1.009309099451392,0.9988006450113462,12,1.0024015869964937,1,1,2,10,10,9,12
main,exhaustive,0.4,3.0,1,3,6,0.1,process_tensor,True,2.026199850557152e-05,1.0000202622037813,0.9999986410582725,4,1.0000027178875874,1,1,1,3,2,1,4
main,exhaustive,0.4,3.0,1,3,6,0.1,response_centered,True,0.0001253247142687906,1.0001253325677388,0.9999901519278083,3,1.0000196963475112,1,1,1,3,2,1,4
main,exhaustive,0.4,3.0,1,3,6,0.1,response_uncentered,True,3.4898613549858255e-05,1.0000348992225137,0.9999975272639197,4,1.0000049454849864,1,1,1,3,2,1,4
main,exhaustive,0.4,3.0,2,3,6,0.1,process_tensor,True,0.004252985800330233,1.0042620425793383,0.9995187698567086,12,1.0009629445216923,1,1,1,62,61,60,64
main,exhaustive,0.4,3.0,2,3,6,0.1,response_centered,True,0.015023654940623781,1.0151370773389976,0.9979207879654081,63,1.004167143736626,1,1,2,62,61,59,64
main,exhaustive,0.4,3.0,2,3,6,0.1,response_uncentered,True,0.007435134741168836,1.0074628439868993,0.9990748668974938,64,1.0018519925442129,1,1,1,62,61,59,64
main,exhaustive,0.4,3.0,3,3,6,0.1,process_tensor,False,0.0078791551432424,1.007910277371385,0.9990041382908171,4,1.0019937069829916,1,1,1,14,14,13,16
